termin,wochentag,art,zone,dayofweek
2020-11-19,Do,Kehrichtabfuhr,C,4
2020-12-21,Mo,Kehrichtabfuhr,C,1
2020-12-28,Mo,Kehrichtabfuhr,C,1
2020-12-31,Do,Kehrichtabfuhr,C,4
2020-01-07,Di,Kehrichtabfuhr,D,2
2020-01-24,Fr,Kehrichtabfuhr,D,5
2020-01-28,Di,Kehrichtabfuhr,D,2
2020-01-31,Fr,Kehrichtabfuhr,D,5
2020-02-07,Fr,Kehrichtabfuhr,D,5
2020-02-11,Di,Kehrichtabfuhr,D,2
2020-02-14,Fr,Kehrichtabfuhr,D,5
2020-02-25,Di,Kehrichtabfuhr,D,2
2020-03-06,Fr,Kehrichtabfuhr,D,5
2020-03-20,Fr,Kehrichtabfuhr,D,5
2020-03-31,Di,Kehrichtabfuhr,D,2
2020-04-17,Fr,Kehrichtabfuhr,D,5
2020-05-05,Di,Kehrichtabfuhr,D,2
2020-05-26,Di,Kehrichtabfuhr,D,2
2020-06-05,Fr,Kehrichtabfuhr,D,5
2020-06-09,Di,Kehrichtabfuhr,D,2
2020-06-12,Fr,Kehrichtabfuhr,D,5
2020-06-16,Di,Kehrichtabfuhr,D,2
2020-06-23,Di,Kehrichtabfuhr,D,2
2020-06-26,Fr,Kehrichtabfuhr,D,5
2020-07-21,Di,Kehrichtabfuhr,D,2
2020-07-31,Fr,Kehrichtabfuhr,D,5
2020-08-04,Di,Kehrichtabfuhr,D,2
2020-08-28,Fr,Kehrichtabfuhr,D,5
2020-09-18,Fr,Kehrichtabfuhr,D,5
2020-10-16,Fr,Kehrichtabfuhr,D,5
2020-11-03,Di,Kehrichtabfuhr,D,2
2020-11-10,Di,Kehrichtabfuhr,D,2
2020-12-15,Di,Kehrichtabfuhr,D,2
2020-01-14,Di,Kehrichtabfuhr,E,2
2020-01-24,Fr,Kehrichtabfuhr,E,5
2020-01-31,Fr,Kehrichtabfuhr,E,5
2020-02-14,Fr,Kehrichtabfuhr,E,5
2020-02-21,Fr,Kehrichtabfuhr,E,5
2020-02-25,Di,Kehrichtabfuhr,E,2
2020-02-28,Fr,Kehrichtabfuhr,E,5
2020-03-03,Di,Kehrichtabfuhr,E,2
2020-03-13,Fr,Kehrichtabfuhr,E,5
2020-04-03,Fr,Kehrichtabfuhr,E,5
2020-04-07,Di,Kehrichtabfuhr,E,2
2020-04-14,Di,Kehrichtabfuhr,E,2
2020-04-17,Fr,Kehrichtabfuhr,E,5
2020-04-28,Di,Kehrichtabfuhr,E,2
2020-05-08,Fr,Kehrichtabfuhr,E,5
2020-06-30,Di,Kehrichtabfuhr,E,2
2020-07-24,Fr,Kehrichtabfuhr,E,5
2020-08-07,Fr,Kehrichtabfuhr,E,5
2020-08-14,Fr,Kehrichtabfuhr,E,5
2020-09-04,Fr,Kehrichtabfuhr,E,5
2020-09-11,Fr,Kehrichtabfuhr,E,5
2020-09-15,Di,Kehrichtabfuhr,E,2
2020-09-18,Fr,Kehrichtabfuhr,E,5
2020-09-29,Di,Kehrichtabfuhr,E,2
2020-10-02,Fr,Kehrichtabfuhr,E,5
2020-10-16,Fr,Kehrichtabfuhr,E,5
2020-11-03,Di,Kehrichtabfuhr,E,2
2020-11-10,Di,Kehrichtabfuhr,E,2
2020-11-17,Di,Kehrichtabfuhr,E,2
2020-11-24,Di,Kehrichtabfuhr,E,2
2020-12-01,Di,Kehrichtabfuhr,E,2
2020-12-08,Di,Kehrichtabfuhr,E,2
2020-12-15,Di,Kehrichtabfuhr,E,2
2020-12-22,Di,Kehrichtabfuhr,E,2
2020-01-02,Do,Kehrichtabfuhr,F,4
2020-01-09,Do,Kehrichtabfuhr,F,4
2020-01-27,Mo,Kehrichtabfuhr,F,1
2020-04-15,Mi,Grobsperrgut,A,3
2020-05-13,Mi,Grobsperrgut,A,3
2020-06-10,Mi,Grobsperrgut,A,3
2020-07-08,Mi,Grobsperrgut,B,3
2020-08-05,Mi,Grobsperrgut,B,3
2020-03-25,Mi,Grobsperrgut,C,3
2020-01-22,Mi,Grobsperrgut,D,3
2020-04-15,Mi,Grobsperrgut,D,3
2020-10-28,Mi,Grobsperrgut,D,3
2020-11-25,Mi,Grobsperrgut,D,3
2020-04-22,Mi,Grobsperrgut,E,3
2020-09-16,Mi,Grobsperrgut,E,3
2020-11-18,Mi,Grobsperrgut,E,3
2020-01-22,Mi,Grobsperrgut,F,3
2020-02-19,Mi,Grobsperrgut,F,3
2020-03-11,Mi,Grobsperrgut,F,3
2020-04-29,Mi,Grobsperrgut,F,3
2020-05-27,Mi,Grobsperrgut,F,3
2020-07-22,Mi,Grobsperrgut,F,3
2020-09-16,Mi,Grobsperrgut,F,3
2020-10-14,Mi,Grobsperrgut,F,3
2020-11-18,Mi,Grobsperrgut,F,3
2020-12-30,Mi,Grobsperrgut,F,3
2020-03-11,Mi,Grobsperrgut,G,3
2020-07-29,Mi,Grobsperrgut,G,3
2020-01-15,Mi,Grobsperrgut,H,3
2020-02-12,Mi,Grobsperrgut,H,3
2020-03-11,Mi,Grobsperrgut,H,3
2020-06-24,Mi,Grobsperrgut,H,3
2020-07-29,Mi,Grobsperrgut,H,3
2020-12-23,Mi,Grobsperrgut,H,3
2020-03-19,Do,Grünabfuhr,A,4
2020-03-26,Do,Grünabfuhr,A,4
2020-05-14,Do,Grünabfuhr,A,4
2020-06-04,Do,Grünabfuhr,A,4
2020-09-17,Do,Grünabfuhr,A,4
2020-11-19,Do,Grünabfuhr,A,4
2020-12-24,Do,Grünabfuhr,A,4
2020-01-17,Fr,Grünabfuhr,B,5
2020-03-13,Fr,Grünabfuhr,B,5
2020-04-03,Fr,Grünabfuhr,B,5
2020-04-17,Fr,Grünabfuhr,B,5
2020-04-24,Fr,Grünabfuhr,B,5
2020-06-12,Fr,Grünabfuhr,B,5
2020-07-03,Fr,Grünabfuhr,B,5
2020-07-10,Fr,Grünabfuhr,B,5
2020-08-07,Fr,Grünabfuhr,B,5
2020-08-14,Fr,Grünabfuhr,B,5
2020-10-09,Fr,Grünabfuhr,B,5
2020-10-16,Fr,Grünabfuhr,B,5
2020-12-11,Fr,Grünabfuhr,B,5
2020-01-03,Fr,Grünabfuhr,C,5
2020-04-17,Fr,Grünabfuhr,C,5
2020-06-19,Fr,Grünabfuhr,C,5
2020-06-26,Fr,Grünabfuhr,C,5
2020-07-03,Fr,Grünabfuhr,C,5
2020-07-10,Fr,Grünabfuhr,C,5
2020-07-31,Fr,Grünabfuhr,C,5
2020-08-14,Fr,Grünabfuhr,C,5
2020-08-28,Fr,Grünabfuhr,C,5
2020-09-04,Fr,Grünabfuhr,C,5
2020-10-02,Fr,Grünabfuhr,C,5
2020-11-13,Fr,Grünabfuhr,C,5
2020-11-20,Fr,Grünabfuhr,C,5
2020-01-30,Do,Grünabfuhr,D,4
2020-03-26,Do,Grünabfuhr,D,4
2020-04-16,Do,Grünabfuhr,D,4
2020-05-14,Do,Grünabfuhr,D,4
2020-07-30,Do,Grünabfuhr,D,4
2020-08-06,Do,Grünabfuhr,D,4
2020-09-03,Do,Grünabfuhr,D,4
2020-10-08,Do,Grünabfuhr,D,4
2020-10-15,Do,Grünabfuhr,D,4
2020-10-22,Do,Grünabfuhr,D,4
2020-11-26,Do,Grünabfuhr,D,4
2020-12-24,Do,Grünabfuhr,D,4
2020-03-12,Do,Grünabfuhr,E,4
2020-03-19,Do,Grünabfuhr,E,4
2020-04-23,Do,Grünabfuhr,E,4
2020-04-30,Do,Grünabfuhr,E,4
2020-05-07,Do,Grünabfuhr,E,4
2020-05-28,Do,Grünabfuhr,E,4
2020-06-11,Do,Grünabfuhr,E,4
2020-06-18,Do,Grünabfuhr,E,4
2020-07-09,Do,Grünabfuhr,E,4
2020-08-27,Do,Grünabfuhr,E,4
2020-09-03,Do,Grünabfuhr,E,4
2020-09-24,Do,Grünabfuhr,E,4
2020-10-01,Do,Grünabfuhr,E,4
2020-10-08,Do,Grünabfuhr,E,4
2020-11-12,Do,Grünabfuhr,E,4
2020-01-28,Di,Grünabfuhr,F,2
2020-02-11,Di,Grünabfuhr,F,2
2020-02-25,Di,Grünabfuhr,F,2
2020-03-10,Di,Grünabfuhr,F,2
2020-03-17,Di,Grünabfuhr,F,2
2020-05-12,Di,Grünabfuhr,F,2
2020-05-19,Di,Grünabfuhr,F,2
2020-05-26,Di,Grünabfuhr,F,2
2020-06-02,Di,Grünabfuhr,F,2
2020-06-23,Di,Grünabfuhr,F,2
2020-08-04,Di,Grünabfuhr,F,2
2020-08-18,Di,Grünabfuhr,F,2
2020-09-01,Di,Grünabfuhr,F,2
2020-09-15,Di,Grünabfuhr,F,2
2020-09-22,Di,Grünabfuhr,F,2
2020-10-27,Di,Grünabfuhr,F,2
2020-12-22,Di,Grünabfuhr,F,2
2020-01-31,Fr,Grünabfuhr,G,5
2020-03-13,Fr,Grünabfuhr,G,5
2020-03-27,Fr,Grünabfuhr,G,5
2020-04-17,Fr,Grünabfuhr,G,5
2020-05-29,Fr,Grünabfuhr,G,5
2020-06-26,Fr,Grünabfuhr,G,5
2020-07-17,Fr,Grünabfuhr,G,5
2020-07-24,Fr,Grünabfuhr,G,5
2020-08-14,Fr,Grünabfuhr,G,5
2020-09-18,Fr,Grünabfuhr,G,5
2020-10-02,Fr,Grünabfuhr,G,5
2020-10-09,Fr,Grünabfuhr,G,5
2020-10-30,Fr,Grünabfuhr,G,5
2020-11-20,Fr,Grünabfuhr,G,5
2020-12-11,Fr,Grünabfuhr,G,5
2020-04-20,Mo,Grünabfuhr,H,1
2020-04-27,Mo,Grünabfuhr,H,1
2020-05-04,Mo,Grünabfuhr,H,1
2020-05-11,Mo,Grünabfuhr,H,1
2020-06-15,Mo,Grünabfuhr,H,1
2020-07-27,Mo,Grünabfuhr,H,1
2020-08-24,Mo,Grünabfuhr,H,1
2020-08-31,Mo,Grünabfuhr,H,1
2020-09-07,Mo,Grünabfuhr,H,1
2020-10-05,Mo,Grünabfuhr,H,1
2020-11-02,Mo,Grünabfuhr,H,1
2020-12-07,Mo,Grünabfuhr,H,1
2020-01-17,Fr,Kehrichtabfuhr,A,5
2020-01-28,Di,Kehrichtabfuhr,A,2
2020-02-04,Di,Kehrichtabfuhr,A,2
2020-02-25,Di,Kehrichtabfuhr,A,2
2020-02-28,Fr,Kehrichtabfuhr,A,5
2020-03-06,Fr,Kehrichtabfuhr,A,5
2020-03-10,Di,Kehrichtabfuhr,A,2
2020-05-08,Fr,Kehrichtabfuhr,A,5
2020-05-12,Di,Kehrichtabfuhr,A,2
2020-05-19,Di,Kehrichtabfuhr,A,2
2020-06-02,Di,Kehrichtabfuhr,A,2
2020-06-19,Fr,Kehrichtabfuhr,A,5
2020-06-23,Di,Kehrichtabfuhr,A,2
2020-06-30,Di,Kehrichtabfuhr,A,2
2020-07-03,Fr,Kehrichtabfuhr,A,5
2020-07-14,Di,Kehrichtabfuhr,A,2
2020-07-21,Di,Kehrichtabfuhr,A,2
2020-07-31,Fr,Kehrichtabfuhr,A,5
2020-08-21,Fr,Kehrichtabfuhr,A,5
2020-09-11,Fr,Kehrichtabfuhr,A,5
2020-09-22,Di,Kehrichtabfuhr,A,2
2020-09-25,Fr,Kehrichtabfuhr,A,5
2020-10-02,Fr,Kehrichtabfuhr,A,5
2020-10-06,Di,Kehrichtabfuhr,A,2
2020-10-20,Di,Kehrichtabfuhr,A,2
2020-10-30,Fr,Kehrichtabfuhr,A,5
2020-11-03,Di,Kehrichtabfuhr,A,2
2020-11-20,Fr,Kehrichtabfuhr,A,5
2020-12-01,Di,Kehrichtabfuhr,A,2
2020-12-04,Fr,Kehrichtabfuhr,A,5
2020-12-15,Di,Kehrichtabfuhr,A,2
2020-12-22,Di,Kehrichtabfuhr,A,2
2020-12-29,Di,Kehrichtabfuhr,A,2
2020-01-20,Mo,Kehrichtabfuhr,B,1
2020-01-30,Do,Kehrichtabfuhr,B,4
2020-02-10,Mo,Kehrichtabfuhr,B,1
2020-02-20,Do,Kehrichtabfuhr,B,4
2020-03-09,Mo,Kehrichtabfuhr,B,1
2020-03-23,Mo,Kehrichtabfuhr,B,1
2020-03-30,Mo,Kehrichtabfuhr,B,1
2020-04-02,Do,Kehrichtabfuhr,B,4
2020-04-23,Do,Kehrichtabfuhr,B,4
2020-04-30,Do,Kehrichtabfuhr,B,4
2020-05-11,Mo,Kehrichtabfuhr,B,1
2020-05-28,Do,Kehrichtabfuhr,B,4
2020-06-11,Do,Kehrichtabfuhr,B,4
2020-06-15,Mo,Kehrichtabfuhr,B,1
2020-06-18,Do,Kehrichtabfuhr,B,4
2020-06-22,Mo,Kehrichtabfuhr,B,1
2020-06-25,Do,Kehrichtabfuhr,B,4
2020-07-06,Mo,Kehrichtabfuhr,B,1
2020-07-09,Do,Kehrichtabfuhr,B,4
2020-07-13,Mo,Kehrichtabfuhr,B,1
2020-07-27,Mo,Kehrichtabfuhr,B,1
2020-08-06,Do,Kehrichtabfuhr,B,4
2020-08-13,Do,Kehrichtabfuhr,B,4
2020-08-27,Do,Kehrichtabfuhr,B,4
2020-08-31,Mo,Kehrichtabfuhr,B,1
2020-09-14,Mo,Kehrichtabfuhr,B,1
2020-09-24,Do,Kehrichtabfuhr,B,4
2020-10-01,Do,Kehrichtabfuhr,B,4
2020-10-12,Mo,Kehrichtabfuhr,B,1
2020-10-15,Do,Kehrichtabfuhr,B,4
2020-10-19,Mo,Kehrichtabfuhr,B,1
2020-11-02,Mo,Kehrichtabfuhr,B,1
2020-11-05,Do,Kehrichtabfuhr,B,4
2020-11-09,Mo,Kehrichtabfuhr,B,1
2020-11-12,Do,Kehrichtabfuhr,B,4
2020-11-23,Mo,Kehrichtabfuhr,B,1
2020-11-30,Mo,Kehrichtabfuhr,B,1
2020-12-14,Mo,Kehrichtabfuhr,B,1
2020-12-21,Mo,Kehrichtabfuhr,B,1
2020-12-31,Do,Kehrichtabfuhr,B,4
2020-01-02,Do,Kehrichtabfuhr,C,4
2020-01-16,Do,Kehrichtabfuhr,C,4
2020-01-20,Mo,Kehrichtabfuhr,C,1
2020-01-27,Mo,Kehrichtabfuhr,C,1
2020-03-09,Mo,Kehrichtabfuhr,C,1
2020-03-12,Do,Kehrichtabfuhr,C,4
2020-03-16,Mo,Kehrichtabfuhr,C,1
2020-03-26,Do,Kehrichtabfuhr,C,4
2020-04-02,Do,Kehrichtabfuhr,C,4
2020-05-14,Do,Kehrichtabfuhr,C,4
2020-02-17,Mo,Kehrichtabfuhr,F,1
2020-02-20,Do,Kehrichtabfuhr,F,4
2020-02-27,Do,Kehrichtabfuhr,F,4
2020-03-02,Mo,Kehrichtabfuhr,F,1
2020-03-05,Do,Kehrichtabfuhr,F,4
2020-03-23,Mo,Kehrichtabfuhr,F,1
2020-04-16,Do,Kehrichtabfuhr,F,4
2020-04-20,Mo,Kehrichtabfuhr,F,1
2020-04-30,Do,Kehrichtabfuhr,F,4
2020-05-04,Mo,Kehrichtabfuhr,F,1
2020-05-14,Do,Kehrichtabfuhr,F,4
2020-05-18,Mo,Kehrichtabfuhr,F,1
2020-06-04,Do,Kehrichtabfuhr,F,4
2020-06-11,Do,Kehrichtabfuhr,F,4
2020-06-15,Mo,Kehrichtabfuhr,F,1
2020-06-18,Do,Kehrichtabfuhr,F,4
2020-06-25,Do,Kehrichtabfuhr,F,4
2020-07-06,Mo,Kehrichtabfuhr,F,1
2020-07-09,Do,Kehrichtabfuhr,F,4
2020-07-13,Mo,Kehrichtabfuhr,F,1
2020-07-27,Mo,Kehrichtabfuhr,F,1
2020-07-30,Do,Kehrichtabfuhr,F,4
2020-08-06,Do,Kehrichtabfuhr,F,4
2020-08-17,Mo,Kehrichtabfuhr,F,1
2020-08-24,Mo,Kehrichtabfuhr,F,1
2020-08-27,Do,Kehrichtabfuhr,F,4
2020-09-10,Do,Kehrichtabfuhr,F,4
2020-09-24,Do,Kehrichtabfuhr,F,4
2020-12-07,Mo,Kehrichtabfuhr,F,1
2020-12-14,Mo,Kehrichtabfuhr,F,1
2020-01-06,Mo,Kehrichtabfuhr,G,1
2020-01-09,Do,Kehrichtabfuhr,G,4
2020-01-16,Do,Kehrichtabfuhr,G,4
2020-01-30,Do,Kehrichtabfuhr,G,4
2020-02-10,Mo,Kehrichtabfuhr,G,1
2020-02-17,Mo,Kehrichtabfuhr,G,1
2020-02-20,Do,Kehrichtabfuhr,G,4
2020-03-02,Mo,Kehrichtabfuhr,G,1
2020-03-05,Do,Kehrichtabfuhr,G,4
2020-03-12,Do,Kehrichtabfuhr,G,4
2020-03-19,Do,Kehrichtabfuhr,G,4
2020-03-30,Mo,Kehrichtabfuhr,G,1
2020-04-09,Do,Kehrichtabfuhr,G,4
2020-04-16,Do,Kehrichtabfuhr,G,4
2020-04-20,Mo,Kehrichtabfuhr,G,1
2020-04-30,Do,Kehrichtabfuhr,G,4
2020-05-25,Mo,Kehrichtabfuhr,G,1
2020-06-08,Mo,Kehrichtabfuhr,G,1
2020-06-11,Do,Kehrichtabfuhr,G,4
2020-06-22,Mo,Kehrichtabfuhr,G,1
2020-07-02,Do,Kehrichtabfuhr,G,4
2020-07-13,Mo,Kehrichtabfuhr,G,1
2020-07-23,Do,Kehrichtabfuhr,G,4
2020-07-27,Mo,Kehrichtabfuhr,G,1
2020-08-06,Do,Kehrichtabfuhr,G,4
2020-08-20,Do,Kehrichtabfuhr,G,4
2020-08-31,Mo,Kehrichtabfuhr,G,1
2020-09-03,Do,Kehrichtabfuhr,G,4
2020-10-01,Do,Kehrichtabfuhr,G,4
2020-11-05,Do,Kehrichtabfuhr,G,4
2020-11-19,Do,Kehrichtabfuhr,G,4
2020-12-03,Do,Kehrichtabfuhr,G,4
2020-12-14,Mo,Kehrichtabfuhr,G,1
2020-12-21,Mo,Kehrichtabfuhr,G,1
2020-01-21,Di,Kehrichtabfuhr,H,2
2020-02-04,Di,Kehrichtabfuhr,H,2
2020-02-11,Di,Kehrichtabfuhr,H,2
2020-03-03,Di,Kehrichtabfuhr,H,2
2020-03-17,Di,Kehrichtabfuhr,H,2
2020-04-21,Di,Kehrichtabfuhr,H,2
2020-04-24,Fr,Kehrichtabfuhr,H,5
2020-05-12,Di,Kehrichtabfuhr,H,2
2020-05-19,Di,Kehrichtabfuhr,H,2
2020-05-22,Fr,Kehrichtabfuhr,H,5
2020-06-05,Fr,Kehrichtabfuhr,H,5
2020-06-16,Di,Kehrichtabfuhr,H,2
2020-06-19,Fr,Kehrichtabfuhr,H,5
2020-07-24,Fr,Kehrichtabfuhr,H,5
2020-09-11,Fr,Kehrichtabfuhr,H,5
2020-09-18,Fr,Kehrichtabfuhr,H,5
2020-09-25,Fr,Kehrichtabfuhr,H,5
2020-10-02,Fr,Kehrichtabfuhr,H,5
2020-10-20,Di,Kehrichtabfuhr,H,2
2020-10-27,Di,Kehrichtabfuhr,H,2
2020-10-30,Fr,Kehrichtabfuhr,H,5
2020-11-03,Di,Kehrichtabfuhr,H,2
2020-11-17,Di,Kehrichtabfuhr,H,2
2020-11-24,Di,Kehrichtabfuhr,H,2
2020-11-27,Fr,Kehrichtabfuhr,H,5
2020-12-01,Di,Kehrichtabfuhr,H,2
2020-12-08,Di,Kehrichtabfuhr,H,2
2020-12-29,Di,Kehrichtabfuhr,H,2
2020-11-30,Mo,Metallabfuhr,A,1
2020-05-20,Mi,Metallabfuhr,B,3
2020-01-06,Mo,Metallabfuhr,C,1
2020-09-23,Mi,Metallabfuhr,C,3
2020-10-21,Mi,Metallabfuhr,C,3
2020-12-15,Di,Metallabfuhr,C,2
2020-01-09,Do,Metallabfuhr,D,4
2020-09-07,Mo,Metallabfuhr,D,1
2020-02-17,Mo,Metallabfuhr,E,1
2020-06-03,Mi,Metallabfuhr,E,3
2020-03-06,Fr,Metallabfuhr,F,5
2020-01-10,Fr,Metallabfuhr,G,5
2020-07-28,Di,Metallabfuhr,G,2
2020-10-05,Mo,Metallabfuhr,H,1
2020-07-29,Mi,Papierabfuhr,A,3
2020-08-26,Mi,Papierabfuhr,A,3
2020-09-23,Mi,Papierabfuhr,A,3
2020-10-21,Mi,Papierabfuhr,A,3
2020-12-16,Mi,Papierabfuhr,A,3
2020-01-08,Mi,Papierabfuhr,B,3
2020-02-05,Mi,Papierabfuhr,B,3
2020-08-26,Mi,Papierabfuhr,B,3
2020-09-23,Mi,Papierabfuhr,B,3
2020-11-18,Mi,Papierabfuhr,B,3
2020-12-16,Mi,Papierabfuhr,B,3
2020-02-26,Mi,Papierabfuhr,C,3
2020-04-29,Mi,Papierabfuhr,C,3
2020-10-14,Mi,Papierabfuhr,C,3
2020-11-11,Mi,Papierabfuhr,C,3
2020-04-01,Mi,Papierabfuhr,D,3
2020-06-24,Mi,Papierabfuhr,D,3
2020-08-19,Mi,Papierabfuhr,D,3
2020-12-09,Mi,Papierabfuhr,D,3
2020-01-15,Mi,Papierabfuhr,E,3
2020-03-18,Mi,Papierabfuhr,E,3
2020-05-13,Mi,Papierabfuhr,E,3
2020-06-10,Mi,Papierabfuhr,E,3
2020-10-28,Mi,Papierabfuhr,E,3
2020-01-15,Mi,Papierabfuhr,F,3
2020-05-13,Mi,Papierabfuhr,F,3
2020-09-02,Mi,Papierabfuhr,F,3
2020-09-30,Mi,Papierabfuhr,F,3
2020-12-23,Mi,Papierabfuhr,F,3
2020-01-22,Mi,Papierabfuhr,G,3
2020-03-25,Mi,Papierabfuhr,G,3
2020-07-15,Mi,Papierabfuhr,G,3
2020-10-07,Mi,Papierabfuhr,G,3
2020-11-04,Mi,Papierabfuhr,G,3
2020-12-02,Mi,Papierabfuhr,G,3
2020-02-19,Mi,Papierabfuhr,H,3
2020-07-15,Mi,Papierabfuhr,H,3
2020-08-12,Mi,Papierabfuhr,H,3
2020-06-22,Mo,Unbrennbares,A,1
2020-11-16,Mo,Unbrennbares,A,1
2020-12-14,Mo,Unbrennbares,A,1
2020-01-07,Di,Unbrennbares,B,2
2020-07-16,Do,Unbrennbares,B,4
2020-10-23,Fr,Unbrennbares,B,5
2020-11-06,Fr,Unbrennbares,B,5
2020-12-08,Di,Unbrennbares,B,2
2020-02-11,Di,Unbrennbares,C,2
2020-03-24,Di,Unbrennbares,C,2
2020-04-21,Di,Unbrennbares,C,2
2020-10-13,Di,Unbrennbares,C,2
2020-12-01,Di,Unbrennbares,C,2
2020-02-17,Mo,Unbrennbares,D,1
2020-09-24,Do,Unbrennbares,D,4
2020-12-17,Do,Unbrennbares,D,4
2020-03-30,Mo,Unbrennbares,E,1
2020-04-23,Do,Unbrennbares,E,4
2020-06-19,Fr,Unbrennbares,E,5
2020-07-20,Mo,Unbrennbares,E,1
2020-03-20,Fr,Unbrennbares,F,5
2020-06-26,Fr,Unbrennbares,F,5
2020-09-18,Fr,Unbrennbares,F,5
2020-03-17,Di,Unbrennbares,G,2
2020-05-04,Mo,Unbrennbares,G,1
2020-07-06,Mo,Unbrennbares,G,1
2020-12-04,Fr,Unbrennbares,G,5
2020-02-13,Do,Unbrennbares,H,4
2020-03-19,Do,Unbrennbares,H,4
2020-09-17,Do,Unbrennbares,H,4
2020-11-26,Do,Unbrennbares,H,4
2020-12-28,Mo,Unbrennbares,H,1
2020-04-06,Mo,Häckseldienst,A,1
2020-02-24,Mo,Häckseldienst,C,1
2020-06-15,Mo,Häckseldienst,C,1
2020-09-14,Mo,Häckseldienst,D,1
2020-11-23,Mo,Häckseldienst,D,1
2020-02-26,Mi,Häckseldienst,E,3
2020-09-16,Mi,Häckseldienst,E,3
2020-11-25,Mi,Häckseldienst,E,3
2020-02-26,Mi,Häckseldienst,F,3
2020-04-08,Mi,Häckseldienst,F,3
2020-06-17,Mi,Häckseldienst,F,3
2020-11-25,Mi,Häckseldienst,F,3
2020-04-07,Di,Häckseldienst,H,2
2020-09-15,Di,Häckseldienst,H,2
2020-11-24,Di,Häckseldienst,H,2
2021-01-05,Di,Kehrichtabfuhr,A,2
2021-01-19,Di,Kehrichtabfuhr,A,2
2021-01-22,Fr,Kehrichtabfuhr,A,5
2021-01-26,Di,Kehrichtabfuhr,A,2
2021-01-29,Fr,Kehrichtabfuhr,A,5
2021-02-05,Fr,Kehrichtabfuhr,A,5
2021-02-12,Fr,Kehrichtabfuhr,A,5
2021-02-19,Fr,Kehrichtabfuhr,A,5
2021-03-02,Di,Kehrichtabfuhr,A,2
2021-03-05,Fr,Kehrichtabfuhr,A,5
2021-03-12,Fr,Kehrichtabfuhr,A,5
2021-03-16,Di,Kehrichtabfuhr,A,2
2021-03-23,Di,Kehrichtabfuhr,A,2
2021-04-23,Fr,Kehrichtabfuhr,A,5
2021-04-27,Di,Kehrichtabfuhr,A,2
2021-05-25,Di,Kehrichtabfuhr,A,2
2021-06-01,Di,Kehrichtabfuhr,A,2
2021-06-22,Di,Kehrichtabfuhr,A,2
2021-06-25,Fr,Kehrichtabfuhr,A,5
2021-07-06,Di,Kehrichtabfuhr,A,2
2021-07-13,Di,Kehrichtabfuhr,A,2
2021-07-27,Di,Kehrichtabfuhr,A,2
2021-08-20,Fr,Kehrichtabfuhr,A,5
2021-09-03,Fr,Kehrichtabfuhr,A,5
2021-09-24,Fr,Kehrichtabfuhr,A,5
2021-09-28,Di,Kehrichtabfuhr,A,2
2021-11-19,Fr,Kehrichtabfuhr,A,5
2021-12-03,Fr,Kehrichtabfuhr,A,5
2021-12-07,Di,Kehrichtabfuhr,A,2
2021-12-17,Fr,Kehrichtabfuhr,A,5
2021-12-28,Di,Kehrichtabfuhr,A,2
2021-01-07,Do,Kehrichtabfuhr,B,4
2021-01-28,Do,Kehrichtabfuhr,B,4
2021-02-22,Mo,Kehrichtabfuhr,B,1
2021-03-01,Mo,Kehrichtabfuhr,B,1
2021-03-04,Do,Kehrichtabfuhr,B,4
2021-03-11,Do,Kehrichtabfuhr,B,4
2021-04-01,Do,Kehrichtabfuhr,B,4
2021-04-08,Do,Kehrichtabfuhr,B,4
2021-04-15,Do,Kehrichtabfuhr,B,4
2021-04-19,Mo,Kehrichtabfuhr,B,1
2021-05-03,Mo,Kehrichtabfuhr,B,1
2021-05-20,Do,Kehrichtabfuhr,B,4
2021-06-14,Mo,Kehrichtabfuhr,B,1
2021-06-24,Do,Kehrichtabfuhr,B,4
2021-06-28,Mo,Kehrichtabfuhr,B,1
2021-07-01,Do,Kehrichtabfuhr,B,4
2021-07-19,Mo,Kehrichtabfuhr,B,1
2021-07-26,Mo,Kehrichtabfuhr,B,1
2021-07-29,Do,Kehrichtabfuhr,B,4
2021-08-30,Mo,Kehrichtabfuhr,B,1
2021-09-02,Do,Kehrichtabfuhr,B,4
2021-09-27,Mo,Kehrichtabfuhr,B,1
2021-10-04,Mo,Kehrichtabfuhr,B,1
2021-10-18,Mo,Kehrichtabfuhr,B,1
2021-10-21,Do,Kehrichtabfuhr,B,4
2021-10-28,Do,Kehrichtabfuhr,B,4
2021-11-04,Do,Kehrichtabfuhr,B,4
2021-11-11,Do,Kehrichtabfuhr,B,4
2021-11-22,Mo,Kehrichtabfuhr,B,1
2021-11-25,Do,Kehrichtabfuhr,B,4
2021-12-23,Do,Kehrichtabfuhr,B,4
2021-12-27,Mo,Kehrichtabfuhr,B,1
2021-12-30,Do,Kehrichtabfuhr,B,4
2021-01-18,Mo,Kehrichtabfuhr,C,1
2021-01-25,Mo,Kehrichtabfuhr,C,1
2021-03-08,Mo,Kehrichtabfuhr,C,1
2021-03-15,Mo,Kehrichtabfuhr,C,1
2021-03-25,Do,Kehrichtabfuhr,C,4
2021-04-15,Do,Kehrichtabfuhr,C,4
2021-04-26,Mo,Kehrichtabfuhr,C,1
2021-04-29,Do,Kehrichtabfuhr,C,4
2021-05-10,Mo,Kehrichtabfuhr,C,1
2021-05-17,Mo,Kehrichtabfuhr,C,1
2021-06-28,Mo,Kehrichtabfuhr,C,1
