"PLZ","Station","Glas","Metall","Oel","Textilien"
8049,"Riedhofstrasse 9","x","x","x","x"
8049,"Riedhofstrasse vis-à-vis 104","x","x",,"x"
8049,"Riedhofstrasse vis-à-vis 378","x","x",,
8049,"Werdinsel vis à vis 1","x","x",,"x"
8050,"Baumackerstasse- vis-à-vis 28","x","x",,"x"
8050,"Binzmühlestrasse 210","x","x",,"x"
8050,"Dörflistasse 90 vis-à-vis Stadthof 11","x","x","x","x"
8050,"Hagenholzstrasse 110","x","x","x","x"
8050,"Neunbrunnenstrasse 60","x","x",,
8050,"Oleanderstrasse 1","x","x",,"x"
8050,"Opfikonstrasse 18","x","x",,"x"
8050,"Regensbergstrasse vis-à-vis 30","x","x",,"x"
8050,"Tramstrasse 55","x","x",,"x"
8050,"Tramstrasse vis-à-vis 208","x","x",,"x"
8050,"Wattstrasse vis à vis 6","x","x",,"x"
8051,"Bocklerstrasse vis-à-vis 14","x","x","x","x"
8051,"Dübendorfstrasse 350","x","x",,"x"
8051,"Helen-Keller-Strasse 4a","x","x",,"x"
8051,"Hirzenbachstrasse 40","x","x",,"x"
8051,"Im Altried vis-à-vis 3","x","x",,"x"
8051,"Kronwiesenstrasse 29","x","x",,"x"
8051,"Luchswiesenstrasse 25","x","x","x","x"
8051,"Luegislandstrasse 173","x","x","x","x"
8051,"Ueberlandstrasse 14","x","x",,"x"
8051,"Ueberlandstrasse 381","x","x",,"x"
8051,"Ueberlandstrasse 409","x","x",,
8052,"Bahnhaldensttrasse  17","x","x","x","x"
8052,"Birchstrasse vis-à-vis 408","x","x",,"x"
8052,"Hertensteinstrasse 41","x","x",,
8052,"Köschenrütistrasse 72","x","x",,
8052,"Schaffhauserstrasse vis-à-vis 502","x","x","x","x"
8052,"Stiglenstrasse 50","x","x",,"x"
8053,"Drusbergstrasse 135","x","x","x","x"
8053,"Katzenschwanzstr. vis-à-vis 28","x","x","x","x"
8053,"Trichtenhausenstasse 93","x","x",,"x"
8053,"Waserstrasse vis-à-vis 36","x","x",,"x"
8053,"Witikonerstrasse 390","x","x",,"x"
8055,"Berneggweg vis-à-vis 8","x","x",,"x"
8055,"Birmensdorferstr. 488","x","x","x","x"
8055,"Birmensdorferstrasse 432","x","x",,"x"
