"PLZ","Station","Abholdatum"
8032,"Merkurplatz: Minervastrasse/Merkurstrasse","2017-08-24"
8037,"Röschibachplatz/Röschibachstrasse 79","2017-09-20"
8038,"Etzelstrasse/Mutschellenstrasse","2017-09-21"
8041,"Leimbachstrasse 160/Klebestrasse, Wertstoff-Sammelstelle","2017-09-04"
8044,"Tramhaltestelle Kirche Fluntern/Zürichbergstrasse 75","2017-08-23"
8045,"Uetlibergstrasse 134","2017-09-06"
8046,"Wehntalerstrasse 539 beim Zehntenhausplatz (beim Kiosk)","2017-10-07"
8047,"Alte evangelische Kirche/Triemlistrasse 2","2017-10-04"
8048,"Lindenplatz","2017-08-22"
8048,"Lindenplatz","2017-10-03"
8049,"Limmattalstrasse 227-229","2017-09-08"
8049,"Limmattalstrasse 227-229","2017-09-23"
8050,"Marktplatz Oerlikon","2017-09-22"
8051,"Schwamendingerplatz","2017-09-18"
8052,"Parkplatz Tramhaltestelle Seebach/Schaffhauserstrasse 501","2017-08-26"
8053,"Parkplatz Waag/Witikonerstrasse 390","2017-08-25"
8055,"Wasserschöpfi/Küngenmatt (Bad Heuried)","2017-09-07"
8057,"Milchbuckstrasse 2/Tramhaltestelle Guggachstrasse","2017-10-05"
8064,"Tramhaltestelle Werdhölzli, im Recyclinghof","2017-08-31"
8001,"Parkplatz am Hirschengraben 13, vor dem kantonalen Obergericht","2018-08-20"
8002,"Tessinerplatz","2018-09-04"
8003,"Alte evangelische Kirche/Triemlistrasse 2","2018-10-03"
8003,"Helvetiaplatz","2018-10-01"
8003,"Tessinerplatz","2018-09-04"
8003,"Uetlibergstrasse 134","2018-09-05"
8003,"Wasserschöpfi/Küngenmatt (Bad Heuried)","2018-09-06"
8004,"Helvetiaplatz","2018-10-01"
8005,"Röntgenplatz","2018-09-08"
8006,"Rigiplatz","2018-10-05"
8008,"Seefeldstrasse 152, Wertstoff-Sammelstelle","2018-09-18"
8032,"Merkurplatz: Minervastrasse/Merkurstrasse","2018-08-23"
8037,"Röschibachplatz/Röschibachstrasse 79","2018-09-19"
8038,"Etzelstrasse/Mutschellenstrasse","2018-09-20"
8041,"Leimbachstrasse 160/Klebestrasse, Wertstoff-Sammelstelle","2018-09-03"
8044,"Tramhaltestelle Kirche Fluntern/Wertstoff-Sammelstelle, Taxistand","2018-08-22"
8045,"Uetlibergstrasse 134","2018-09-05"
8046,"Wehntalerstrasse 539 beim Zehntenhausplatz (beim Kiosk)","2018-10-06"
8047,"Alte evangelische Kirche/Triemlistrasse 2","2018-10-03"
8048,"Lindenplatz","2018-08-21"
8048,"Lindenplatz","2018-10-02"
8049,"Limmattalstrasse 227-229","2018-09-07"
8049,"Limmattalstrasse 227-229","2018-09-22"
8050,"Marktplatz Oerlikon","2018-09-21"
8051,"Schwamendingerplatz","2018-09-17"
8052,"Parkplatz Tramhaltestelle Seebach/Schaffhauserstrasse 501","2018-08-25"
8053,"Parkplatz Waag/Witikonerstrasse 390","2018-08-24"
8055,"Wasserschöpfi/Küngenmatt (Bad Heuried)","2018-09-06"
8057,"Milchbuckstrasse 2/Tramhaltestelle Guggachstrasse","2018-10-04"
8064,"Tramhaltestelle Werdhölzli, im Recyclinghof","2018-08-30"
8001,"Parkplatz am Hirschengraben 13, vor dem kantonalen Obergericht","2019-08-19"
8002,"Tessinerplatz","2019-09-03"
8003,"Alte evangelische Kirche/Albisriederstrasse 385","2019-10-02"
8003,"Helvetiaplatz","2019-09-30"
8003,"Tessinerplatz","2019-09-03"
8003,"Uetlibergstrasse 134","2019-09-04"
8003,"Wasserschöpfi/Küngenmatt (Bad Heuried)","2019-09-05"
8004,"Helvetiaplatz","2019-09-30"
8005,"Röntgenplatz","2019-09-07"
8006,"Rigiplatz","2019-10-04"
8008,"Seefeldstrasse 152, Wertstoff-Sammelstelle","2019-09-17"
8032,"Merkurplatz: Minervastrasse/Merkurstrasse","2019-08-22"
8037,"Röschibachplatz/Röschibachstrasse 79","2019-09-18"
8038,"Etzelstrasse/Mutschellenstrasse","2019-09-19"
8041,"Leimbachstrasse 160/Klebestrasse, Wertstoff-Sammelstelle","2019-09-02"
8044,"Kirche Fluntern Wertstoff-Sammelstelle, Taxistand","2019-08-21"
8045,"Uetlibergstrasse 134","2019-09-04"
8046,"Wehntalerstrasse 539 beim Zehntenhausplatz (beim Kiosk)","2019-10-05"
8047,"Alte evangelische Kirche/Albisriederstrasse 385","2019-10-02"
8048,"Lindenplatz","2019-08-20"
8048,"Lindenplatz","2019-10-01"
8049,"Limmattalstrasse 227-229","2019-09-06"
8049,"Limmattalstrasse 227-229","2019-09-21"
8050,"Marktplatz Oerlikon","2019-09-20"
8051,"Schwamendingerplatz","2019-09-16"
8052,"Parkplatz Tramhaltestelle Seebach/Schaffhauserstrasse 501","2019-08-24"
8053,"Parkplatz Waag/Witikonerstrasse 390","2019-08-23"
8055,"Wasserschöpfi/Küngenmatt (Bad Heuried)","2019-09-05"
8057,"Milchbuckstrasse 2/Tramhaltestelle Guggachstrasse","2019-10-03"
8064,"Tramhaltestelle Werdhölzli, im Recyclinghof","2019-08-29"
8001,"Parkplatz am Hirschengraben 13, vor dem kantonalen Obergericht","2020-08-17"
8002,"Tessinerplatz","2020-09-01"
8003,"Alte evangelische Kirche/Albisriederstrasse 385","2020-09-30"
8003,"Helvetiaplatz","2020-09-28"
8003,"Tessinerplatz","2020-09-01"
8003,"Uetlibergstrasse 134","2020-09-02"
8003,"Wasserschöpfi/Küngenmatt (Bad Heuried)","2020-09-03"
8004,"Helvetiaplatz","2020-09-28"
8005,"Röntgenplatz","2020-09-05"
8006,"Rigiplatz","2020-10-02"
8008,"Seefeldstrasse 152, Wertstoff-Sammelstelle","2020-09-15"
8032,"Merkurplatz: Minervastrasse/Merkurstrasse","2020-08-20"
8037,"Röschibachplatz/Röschibachstrasse 79","2020-09-16"
8038,"Etzelstrasse/Mutschellenstrasse","2020-09-17"
8041,"Leimbachstrasse 160/Klebestrasse, Wertstoff-Sammelstelle","2020-08-31"
8044,"Kirche Fluntern Wertstoff-Sammelstelle, Taxistand","2020-08-19"
8045,"Uetlibergstrasse 134","2020-09-02"
8046,"Wehntalerstrasse 539 beim Zehntenhausplatz (beim Kiosk)","2020-10-03"
8047,"Alte evangelische Kirche/Albisriederstrasse 385","2020-09-30"
8048,"Lindenplatz","2020-08-18"
8048,"Lindenplatz","2020-09-29"
8049,"Limmattalstrasse 227-229","2020-09-04"
8049,"Limmattalstrasse 227-229","2020-09-19"
8050,"Marktplatz Oerlikon","2020-09-18"
8051,"Schwamendingerplatz","2020-09-14"
8052,"Parkplatz Tramhaltestelle Seebach/Schaffhauserstrasse 501","2020-08-22"
8053,"Parkplatz Waag/Witikonerstrasse 390","2020-08-21"
8055,"Wasserschöpfi/Küngenmatt (Bad Heuried)","2020-09-03"
8057,"Milchbuckstrasse 2/Tramhaltestelle Guggachstrasse","2020-10-01"
8064,"Tramhaltestelle Werdhölzli, im Recyclinghof","2020-08-27"
8001,"Parkplatz am Hirschengraben 13, vor dem kantonalen Obergericht","2021-08-23"
8002,"Tessinerplatz","2021-09-07"
8003,"Alte evangelische Kirche / Albisriederstrasse 385","2021-10-06"
8003,"Helvetiaplatz","2021-10-04"
8003,"Tessinerplatz","2021-09-07"
8003,"Uetlibergstrasse 134","2021-09-08"
8003,"Wasserschöpfi/Küngenmatt (Bad Heuried)","2021-09-09"
8004,"Helvetiaplatz","2021-10-04"
8005,"Röntgenplatz","2021-09-11"
8006,"Rigiplatz","2021-10-08"
8008,"Seefeldstrasse 152, Wertstoff-Sammelstelle","2021-09-21"
8032,"Merkurplatz: Minervastrasse/Merkurstrasse","2021-08-26"
8037,"Röschibachplatz/Röschibachstrasse 79","2021-09-22"
8038,"Etzelstrasse/Mutschellenstrasse","2021-09-23"
8041,"Leimbachstrasse 160/Klebestrasse, Wertstoff-Sammelstelle","2021-09-06"
8044,"Kirche Fluntern Wertstoff-Sammelstelle, Taxistand","2021-08-25"
8045,"Uetlibergstrasse 134","2021-09-08"
8046,"Wehntalerstrasse 539 beim Zehntenhausplatz (beim Kiosk)","2021-10-09"
8047,"Alte evangelische Kirche / Albisriederstrasse 385","2021-10-06"
8048,"Lindenplatz","2021-08-24"
8048,"Lindenplatz","2021-10-05"
8049,"Limmattalstrasse 227-229","2021-09-10"
8049,"Limmattalstrasse 227-229","2021-09-18"
8050,"Marktplatz Oerlikon","2021-09-24"
8051,"Schwamendingerplatz","2021-09-20"
8052,"Parkplatz Tramhaltestelle Seebach/Schaffhauserstrasse 501","2021-08-28"
8053,"Parkplatz Waag/Witikonerstrasse 390","2021-08-27"
8055,"Wasserschöpfi/Küngenmatt (Bad Heuried)","2021-09-09"
8057,"Milchbuckstrasse 2/Tramhaltestelle Guggachstrasse","2021-10-07"
8064,"Tramhaltestelle Werdhölzli, im Recyclinghof","2021-09-02"
