"PLZ","Station","Abholdatum"
8001,"Parkplatz am Hirschengraben 13, vor dem kantonalen Obergericht","2018-08-20"
8002,"Tessinerplatz","2018-09-04"
8003,"Alte evangelische Kirche/Triemlistrasse 2","2018-10-03"
8003,"Helvetiaplatz","2018-10-01"
8003,"Tessinerplatz","2018-09-04"
8003,"Uetlibergstrasse 134","2018-09-05"
8003,"Wasserschöpfi/Küngenmatt (Bad Heuried)","2018-09-06"
8004,"Helvetiaplatz","2018-10-01"
8005,"Röntgenplatz","2018-09-08"
8006,"Rigiplatz","2018-10-05"
8008,"Seefeldstrasse 152, Wertstoff-Sammelstelle","2018-09-18"
8032,"Merkurplatz: Minervastrasse/Merkurstrasse","2018-08-23"
8037,"Röschibachplatz/Röschibachstrasse 79","2018-09-19"
8038,"Etzelstrasse/Mutschellenstrasse","2018-09-20"
8041,"Leimbachstrasse 160/Klebestrasse, Wertstoff-Sammelstelle","2018-09-03"
8044,"Tramhaltestelle Kirche Fluntern/Wertstoff-Sammelstelle, Taxistand","2018-08-22"
8045,"Uetlibergstrasse 134","2018-09-05"
8046,"Wehntalerstrasse 539 beim Zehntenhausplatz (beim Kiosk)","2018-10-06"
8047,"Alte evangelische Kirche/Triemlistrasse 2","2018-10-03"
8048,"Lindenplatz","2018-08-21"
8048,"Lindenplatz","2018-10-02"
8049,"Limmattalstrasse 227-229","2018-09-07"
8049,"Limmattalstrasse 227-229","2018-09-22"
8050,"Marktplatz Oerlikon","2018-09-21"
8051,"Schwamendingerplatz","2018-09-17"
8052,"Parkplatz Tramhaltestelle Seebach/Schaffhauserstrasse 501","2018-08-25"
8053,"Parkplatz Waag/Witikonerstrasse 390","2018-08-24"
8055,"Wasserschöpfi/Küngenmatt (Bad Heuried)","2018-09-06"
8057,"Milchbuckstrasse 2/Tramhaltestelle Guggachstrasse","2018-10-04"
8064,"Tramhaltestelle Werdhölzli, im Recyclinghof","2018-08-30"

