"PLZ","Abholdatum"
8001,"2019-01-10"
8001,"2019-01-24"
8001,"2019-02-07"
8001,"2019-02-21"
8001,"2019-03-07"
8001,"2019-03-21"
8001,"2019-04-04"
8001,"2019-04-18"
8001,"2019-05-02"
8001,"2019-05-16"
8001,"2019-06-13"
8001,"2019-06-27"
8001,"2019-07-11"
8001,"2019-07-25"
8001,"2019-08-08"
8001,"2019-08-22"
8001,"2019-09-05"
8001,"2019-09-19"
8001,"2019-10-03"
8001,"2019-10-17"
8001,"2019-10-31"
8001,"2019-11-14"
8001,"2019-11-28"
8001,"2019-12-12"
8002,"2019-01-04"
8002,"2019-01-18"
8002,"2019-02-01"
8002,"2019-02-15"
8002,"2019-03-01"
8002,"2019-03-15"
8002,"2019-03-29"
8002,"2019-04-12"
8002,"2019-04-26"
8002,"2019-05-10"
8002,"2019-05-24"
8002,"2019-06-07"
8002,"2019-06-21"
8002,"2019-07-05"
8002,"2019-07-19"
8002,"2019-08-02"
8002,"2019-08-16"
8002,"2019-08-30"
8002,"2019-09-13"
8002,"2019-09-27"
8002,"2019-10-11"
8002,"2019-10-25"
8002,"2019-11-08"
8002,"2019-11-22"
8002,"2019-12-06"
8002,"2019-12-20"
8003,"2019-01-03"
8003,"2019-01-17"
8003,"2019-01-31"
8003,"2019-02-14"
8003,"2019-02-28"
8003,"2019-03-14"
8003,"2019-03-28"
8003,"2019-04-11"
8003,"2019-04-25"
8003,"2019-05-09"
8003,"2019-05-23"
8003,"2019-06-06"
8003,"2019-06-20"
8003,"2019-07-04"
8003,"2019-07-18"
8003,"2019-08-15"
8003,"2019-08-29"
8003,"2019-09-12"
8003,"2019-09-26"
8003,"2019-10-10"
8003,"2019-10-24"
8003,"2019-11-07"
8003,"2019-11-21"
8003,"2019-12-05"
8003,"2019-12-19"
8004,"2019-01-11"
8004,"2019-01-25"
8004,"2019-02-08"
8004,"2019-02-22"
8004,"2019-03-08"
8004,"2019-03-22"
8004,"2019-04-05"
8004,"2019-05-03"
8004,"2019-05-17"
8004,"2019-05-31"
8004,"2019-06-14"
8004,"2019-06-28"
8004,"2019-07-12"
8004,"2019-07-26"
8004,"2019-08-09"
8004,"2019-08-23"
8004,"2019-09-06"
8004,"2019-09-20"
8004,"2019-10-04"
8004,"2019-10-18"
8004,"2019-11-01"
8004,"2019-11-15"
8004,"2019-11-29"
8004,"2019-12-13"
8004,"2019-12-27"
8005,"2019-01-11"
8005,"2019-01-25"
8005,"2019-02-08"
8005,"2019-02-22"
8005,"2019-03-08"
8005,"2019-03-22"
8005,"2019-04-05"
8005,"2019-05-03"
8005,"2019-05-17"
8005,"2019-05-31"
8005,"2019-06-14"
8005,"2019-06-28"
8005,"2019-07-12"
8005,"2019-07-26"
8005,"2019-08-09"
8005,"2019-08-23"
8005,"2019-09-06"
8005,"2019-09-20"
8005,"2019-10-04"
8005,"2019-10-18"
8005,"2019-11-01"
8005,"2019-11-15"
8005,"2019-11-29"
8005,"2019-12-13"
8005,"2019-12-27"
8006,"2019-01-08"
8006,"2019-01-22"
8006,"2019-02-05"
8006,"2019-02-19"
8006,"2019-03-05"
8006,"2019-03-19"
8006,"2019-04-02"
8006,"2019-04-16"
8006,"2019-04-30"
8006,"2019-05-14"
8006,"2019-05-28"
8006,"2019-06-11"
8006,"2019-06-25"
8006,"2019-07-09"
8006,"2019-07-23"
8006,"2019-08-06"
8006,"2019-08-20"
