"PLZ","Abholdatum"
8001,"2018-01-18"
8001,"2018-02-15"
8001,"2018-03-15"
8001,"2018-04-12"
8001,"2018-05-11"
8001,"2018-06-07"
8001,"2018-07-05"
8001,"2018-08-02"
8001,"2018-08-30"
8001,"2018-09-27"
8001,"2018-10-25"
8001,"2018-11-22"
8001,"2018-12-20"
8002,"2018-01-08"
8002,"2018-02-05"
8002,"2018-03-05"
8002,"2018-04-03"
8002,"2018-04-30"
8002,"2018-05-28"
8002,"2018-06-25"
8002,"2018-07-23"
8002,"2018-08-20"
8002,"2018-09-17"
8002,"2018-10-15"
8002,"2018-11-12"
8002,"2018-12-10"
8003,"2018-01-12"
8003,"2018-02-09"
8003,"2018-03-09"
8003,"2018-04-06"
8003,"2018-05-04"
8003,"2018-06-01"
8003,"2018-06-29"
8003,"2018-07-27"
8003,"2018-08-24"
8003,"2018-09-21"
8003,"2018-10-19"
8003,"2018-11-16"
8003,"2018-12-14"
8004,"2018-01-10"
8004,"2018-02-07"
8004,"2018-03-07"
8004,"2018-04-04"
8004,"2018-05-02"
8004,"2018-05-30"
8004,"2018-06-27"
8004,"2018-07-25"
8004,"2018-08-22"
8004,"2018-09-19"
8004,"2018-10-17"
8004,"2018-11-14"
8004,"2018-12-12"
8005,"2018-01-11"
8005,"2018-02-08"
8005,"2018-03-08"
8005,"2018-04-05"
8005,"2018-05-03"
8005,"2018-05-31"
8005,"2018-06-28"
8005,"2018-07-26"
8005,"2018-08-23"
8005,"2018-09-20"
8005,"2018-10-18"
8005,"2018-11-15"
8005,"2018-12-13"
8006,"2018-01-03"
8006,"2018-01-31"
8006,"2018-02-28"
8006,"2018-03-28"
8006,"2018-04-25"
8006,"2018-05-23"
8006,"2018-06-20"
8006,"2018-07-18"
8006,"2018-08-15"
8006,"2018-09-12"
8006,"2018-10-10"
8006,"2018-11-07"
8006,"2018-12-05"
8008,"2018-01-04"
8008,"2018-02-01"
8008,"2018-03-01"
8008,"2018-03-29"
8008,"2018-04-26"
8008,"2018-05-24"
8008,"2018-06-21"
8008,"2018-07-19"
8008,"2018-08-16"
8008,"2018-09-13"
8008,"2018-10-11"
8008,"2018-11-08"
8008,"2018-12-06"
8032,"2018-01-25"
8032,"2018-02-22"
8032,"2018-03-22"
8032,"2018-04-19"
8032,"2018-05-17"
8032,"2018-06-14"
8032,"2018-07-12"
8032,"2018-08-09"
8032,"2018-09-06"
8032,"2018-10-04"
8032,"2018-11-01"
8032,"2018-11-29"
8032,"2018-12-27"
8037,"2018-01-17"
8037,"2018-02-14"
8037,"2018-03-14"
8037,"2018-04-11"
8037,"2018-05-09"
8037,"2018-06-06"
8037,"2018-07-04"
8037,"2018-08-03"
8037,"2018-08-29"
8037,"2018-09-26"
8037,"2018-10-24"
8037,"2018-11-21"
8037,"2018-12-19"
8038,"2018-01-26"
8038,"2018-02-23"
8038,"2018-03-23"
8038,"2018-04-20"
8038,"2018-05-18"
8038,"2018-06-15"
8038,"2018-07-13"
8038,"2018-08-10"
8038,"2018-09-07"
8038,"2018-10-05"
8038,"2018-11-02"
8038,"2018-11-30"
8038,"2018-12-28"
8041,"2018-01-05"
8041,"2018-02-02"
8041,"2018-03-02"
8041,"2018-03-31"
8041,"2018-04-27"
8041,"2018-05-25"
8041,"2018-06-22"
8041,"2018-07-20"
8041,"2018-08-17"
8041,"2018-09-14"
8041,"2018-10-12"
8041,"2018-11-09"
8041,"2018-12-07"
8044,"2018-01-17"
8044,"2018-02-14"
8044,"2018-03-14"
8044,"2018-04-11"
8044,"2018-05-09"
8044,"2018-06-06"
8044,"2018-07-04"
8044,"2018-08-03"
8044,"2018-08-29"
8044,"2018-09-26"
8044,"2018-10-24"
8044,"2018-11-21"
8044,"2018-12-19"
8045,"2018-01-05"
8045,"2018-02-02"
8045,"2018-03-02"
8045,"2018-03-31"
8045,"2018-04-27"
8045,"2018-05-25"
8045,"2018-06-22"
8045,"2018-07-20"
8045,"2018-08-17"
8045,"2018-09-14"
8045,"2018-10-12"
8045,"2018-11-09"
8045,"2018-12-07"
8046,"2018-01-09"
8046,"2018-02-06"
8046,"2018-03-06"
8046,"2018-04-03"
8046,"2018-05-03"
8046,"2018-05-29"
8046,"2018-06-26"
8046,"2018-07-24"
8046,"2018-08-21"
8046,"2018-09-18"
8046,"2018-10-16"
8046,"2018-11-13"
8046,"2018-12-11"
8047,"2018-01-03"
8047,"2018-01-29"
8047,"2018-02-26"
8047,"2018-03-26"
8047,"2018-04-23"
8047,"2018-05-22"
8047,"2018-06-18"
8047,"2018-07-16"
8047,"2018-08-13"
8047,"2018-09-10"
8047,"2018-10-08"
8047,"2018-11-05"
8047,"2018-12-03"
8047,"2018-12-31"
8048,"2018-01-15"
8048,"2018-02-12"
8048,"2018-03-12"
8048,"2018-04-09"
8048,"2018-05-07"
8048,"2018-06-04"
8048,"2018-07-02"
8048,"2018-07-30"
8048,"2018-08-27"
8048,"2018-09-24"
8048,"2018-10-22"
8048,"2018-11-19"
8048,"2018-12-17"
8049,"2018-01-22"
8049,"2018-02-19"
8049,"2018-03-19"
8049,"2018-04-16"
8049,"2018-05-14"
8049,"2018-06-11"
8049,"2018-07-09"
8049,"2018-08-06"
8049,"2018-09-03"
8049,"2018-10-01"
8049,"2018-10-29"
8049,"2018-11-26"
8049,"2018-12-24"
8050,"2018-01-24"
8050,"2018-02-21"
8050,"2018-03-21"
8050,"2018-04-18"
8050,"2018-05-16"
8050,"2018-06-13"
8050,"2018-07-11"
8050,"2018-08-08"
8050,"2018-09-05"
8050,"2018-10-03"
8050,"2018-10-31"
8050,"2018-11-28"
8050,"2018-12-29"
8051,"2018-01-16"
8051,"2018-02-13"
8051,"2018-03-13"
8051,"2018-04-10"
8051,"2018-05-08"
8051,"2018-06-05"
8051,"2018-07-03"
8051,"2018-07-31"
8051,"2018-08-28"
8051,"2018-09-25"
8051,"2018-10-23"
8051,"2018-11-20"
8051,"2018-12-18"
8052,"2018-01-23"
8052,"2018-02-20"
8052,"2018-03-20"
8052,"2018-04-17"
8052,"2018-05-15"
8052,"2018-06-12"
8052,"2018-07-10"
8052,"2018-08-07"
8052,"2018-09-04"
8052,"2018-10-02"
8052,"2018-10-30"
8052,"2018-11-27"
8052,"2018-12-28"
8053,"2018-01-18"
8053,"2018-02-15"
8053,"2018-03-15"
8053,"2018-04-12"
8053,"2018-05-11"
8053,"2018-06-07"
8053,"2018-07-05"
8053,"2018-08-02"
8053,"2018-08-30"
8053,"2018-09-27"
8053,"2018-10-25"
8053,"2018-11-22"
8053,"2018-12-20"
8055,"2018-01-19"
8055,"2018-02-16"
8055,"2018-03-16"
8055,"2018-04-13"
8055,"2018-05-11"
8055,"2018-06-08"
8055,"2018-07-06"
8055,"2018-08-03"
8055,"2018-08-31"
8055,"2018-09-28"
8055,"2018-10-26"
8055,"2018-11-23"
8055,"2018-12-21"
8057,"2018-01-04"
8057,"2018-01-30"
8057,"2018-02-27"
8057,"2018-03-27"
8057,"2018-04-24"
8057,"2018-05-22"
8057,"2018-06-19"
8057,"2018-07-17"
8057,"2018-08-14"
8057,"2018-09-11"
8057,"2018-10-09"
8057,"2018-11-06"
8057,"2018-12-04"
8064,"2018-01-19"
8064,"2018-02-16"
8064,"2018-03-16"
8064,"2018-04-13"
8064,"2018-05-11"
8064,"2018-06-08"
8064,"2018-07-06"
8064,"2018-08-03"
8064,"2018-08-31"
8064,"2018-09-28"
8064,"2018-10-26"
8064,"2018-11-23"
8064,"2018-12-21"

