PLZ,Abholdatum,Tour
8800,2018-01-25,
8800,2018-04-26,
8800,2018-06-28,
8800,2018-08-23,
8800,2018-11-29,
8800,2019-01-31,
8800,2019-03-28,
8800,2019-05-23,
8800,2019-07-25,
8800,2019-09-26,
8800,2019-11-28,
8800,2020-02-27,
8800,2020-04-23,
8800,2020-06-25,
8800,2020-08-27,
8800,2020-10-22,
8800,2021-02-25,
8800,2021-04-29,
8800,2021-06-24,
8800,2021-08-26,
8800,2021-11-25,
