"PLZ","Abholdatum"
8001,"2020-01-16"
8001,"2020-02-13"
8001,"2020-03-12"
8001,"2020-04-09"
8001,"2020-05-07"
8001,"2020-06-04"
8001,"2020-07-02"
8001,"2020-07-30"
8001,"2020-08-27"
8001,"2020-09-24"
8001,"2020-10-22"
8001,"2020-11-19"
8001,"2020-12-17"
8002,"2020-01-06"
8002,"2020-02-03"
8002,"2020-03-02"
8002,"2020-03-30"
8002,"2020-04-27"
8002,"2020-05-25"
8002,"2020-06-22"
8002,"2020-07-20"
8002,"2020-08-17"
8002,"2020-09-14"
8002,"2020-10-12"
8002,"2020-11-09"
8002,"2020-12-07"
8003,"2020-01-10"
8003,"2020-02-07"
8003,"2020-03-06"
8003,"2020-04-03"
8003,"2020-05-02"
8003,"2020-05-29"
8003,"2020-06-26"
8003,"2020-07-24"
8003,"2020-08-21"
8003,"2020-09-18"
8003,"2020-10-16"
8003,"2020-11-13"
8003,"2020-12-11"
8004,"2020-01-08"
8004,"2020-02-05"
8004,"2020-03-04"
8004,"2020-04-01"
8004,"2020-04-29"
8004,"2020-05-27"
8004,"2020-06-24"
8004,"2020-07-22"
8004,"2020-08-19"
8004,"2020-09-16"
8004,"2020-10-14"
8004,"2020-11-11"
8004,"2020-12-09"
8005,"2020-01-09"
8005,"2020-02-06"
8005,"2020-03-05"
8005,"2020-04-02"
8005,"2020-04-30"
8005,"2020-05-28"
8005,"2020-06-25"
8005,"2020-07-23"
8005,"2020-08-20"
8005,"2020-09-17"
8005,"2020-10-15"
8005,"2020-11-12"
8005,"2020-12-10"
8006,"2020-01-04"
8006,"2020-01-29"
8006,"2020-02-26"
8006,"2020-03-25"
8006,"2020-04-22"
8006,"2020-05-20"
8006,"2020-06-17"
8006,"2020-07-15"
8006,"2020-08-12"
8006,"2020-09-09"
8006,"2020-10-07"
8006,"2020-11-04"
8006,"2020-12-02"
8006,"2020-12-30"
8008,"2020-01-04"
8008,"2020-01-30"
8008,"2020-02-27"
8008,"2020-03-26"
8008,"2020-04-23"
8008,"2020-05-23"
8008,"2020-06-18"
8008,"2020-07-16"
8008,"2020-08-13"
8008,"2020-09-10"
8008,"2020-10-08"
8008,"2020-11-05"
8008,"2020-12-03"
8008,"2020-12-31"
8032,"2020-01-23"
8032,"2020-02-20"
8032,"2020-03-19"
8032,"2020-04-16"
8032,"2020-05-14"
8032,"2020-06-11"
8032,"2020-07-09"
8032,"2020-08-06"
8032,"2020-09-03"
8032,"2020-10-01"
8032,"2020-10-29"
8032,"2020-11-26"
8032,"2020-12-24"
8037,"2020-01-15"
8037,"2020-02-12"
8037,"2020-03-11"
8037,"2020-04-08"
8037,"2020-05-06"
8037,"2020-06-03"
8037,"2020-07-01"
8037,"2020-07-29"
8037,"2020-08-26"
8037,"2020-09-23"
8037,"2020-10-21"
8037,"2020-11-18"
8037,"2020-12-16"
8038,"2020-01-24"
8038,"2020-02-21"
8038,"2020-03-20"
8038,"2020-04-17"
8038,"2020-05-15"
8038,"2020-06-12"
8038,"2020-07-10"
8038,"2020-08-07"
8038,"2020-09-04"
8038,"2020-10-02"
8038,"2020-10-30"
8038,"2020-11-27"
8038,"2020-12-28"
8041,"2020-01-03"
8041,"2020-01-31"
8041,"2020-02-28"
8041,"2020-03-27"
8041,"2020-04-24"
8041,"2020-05-22"
8041,"2020-06-19"
8041,"2020-07-17"
8041,"2020-08-14"
8041,"2020-09-11"
8041,"2020-10-09"
8041,"2020-11-06"
8041,"2020-12-04"
8044,"2020-01-15"
8044,"2020-02-12"
8044,"2020-03-11"
8044,"2020-04-08"
8044,"2020-05-06"
8044,"2020-06-03"
8044,"2020-07-01"
8044,"2020-07-29"
8044,"2020-08-26"
8044,"2020-09-23"
8044,"2020-10-21"
8044,"2020-11-18"
8044,"2020-12-16"
8045,"2020-01-03"
8045,"2020-01-31"
8045,"2020-02-28"
8045,"2020-03-27"
8045,"2020-04-24"
8045,"2020-05-22"
8045,"2020-06-19"
8045,"2020-07-17"
8045,"2020-08-14"
8045,"2020-09-11"
8045,"2020-10-09"
8045,"2020-11-06"
8045,"2020-12-04"
8046,"2020-01-07"
8046,"2020-02-04"
8046,"2020-03-03"
8046,"2020-03-31"
8046,"2020-04-28"
8046,"2020-05-26"
8046,"2020-06-23"
8046,"2020-07-21"
8046,"2020-08-18"
8046,"2020-09-15"
8046,"2020-10-13"
8046,"2020-11-10"
8046,"2020-12-08"
8047,"2020-01-27"
8047,"2020-02-24"
8047,"2020-03-23"
8047,"2020-04-20"
8047,"2020-05-18"
8047,"2020-06-15"
8047,"2020-07-13"
8047,"2020-08-10"
8047,"2020-09-07"
8047,"2020-10-05"
8047,"2020-11-02"
8047,"2020-11-30"
8047,"2020-12-28"
8048,"2020-01-13"
8048,"2020-02-10"
8048,"2020-03-09"
8048,"2020-04-06"
8048,"2020-05-04"
8048,"2020-06-02"
8048,"2020-06-29"
8048,"2020-07-27"
8048,"2020-08-24"
8048,"2020-09-21"
8048,"2020-10-19"
8048,"2020-11-16"
8048,"2020-12-14"
8049,"2020-01-20"
8049,"2020-02-17"
8049,"2020-03-16"
8049,"2020-04-14"
8049,"2020-05-11"
8049,"2020-06-08"
8049,"2020-07-06"
8049,"2020-08-03"
8049,"2020-08-31"
8049,"2020-09-28"
8049,"2020-10-26"
8049,"2020-11-23"
8049,"2020-12-21"
8050,"2020-01-22"
8050,"2020-02-19"
8050,"2020-03-18"
8050,"2020-04-15"
8050,"2020-05-13"
8050,"2020-06-10"
8050,"2020-07-08"
8050,"2020-08-05"
8050,"2020-09-02"
8050,"2020-09-30"
8050,"2020-10-28"
8050,"2020-11-25"
8050,"2020-12-23"
8051,"2020-01-14"
8051,"2020-02-11"
8051,"2020-03-10"
8051,"2020-04-07"
8051,"2020-05-05"
8051,"2020-06-02"
8051,"2020-06-30"
8051,"2020-07-28"
8051,"2020-08-25"
8051,"2020-09-22"
8051,"2020-10-20"
8051,"2020-11-17"
8051,"2020-12-15"
8052,"2020-01-21"
8052,"2020-02-18"
8052,"2020-03-17"
8052,"2020-04-14"
8052,"2020-05-12"
8052,"2020-06-09"
8052,"2020-07-07"
8052,"2020-08-04"
8052,"2020-09-01"
8052,"2020-09-29"
8052,"2020-10-27"
8052,"2020-11-24"
8052,"2020-12-22"
8053,"2020-01-16"
8053,"2020-02-13"
8053,"2020-03-12"
8053,"2020-04-09"
8053,"2020-05-07"
8053,"2020-06-04"
8053,"2020-07-02"
8053,"2020-07-30"
8053,"2020-08-27"
8053,"2020-09-24"
8053,"2020-10-22"
8053,"2020-11-19"
8053,"2020-12-17"
8055,"2020-01-17"
8055,"2020-02-14"
8055,"2020-03-13"
8055,"2020-04-11"
8055,"2020-05-08"
8055,"2020-06-05"
8055,"2020-07-03"
8055,"2020-07-31"
8055,"2020-08-28"
8055,"2020-09-25"
8055,"2020-10-23"
8055,"2020-11-20"
8055,"2020-12-18"
8057,"2020-01-28"
8057,"2020-02-25"
8057,"2020-03-24"
8057,"2020-04-21"
8057,"2020-05-19"
8057,"2020-06-16"
8057,"2020-07-14"
8057,"2020-08-11"
8057,"2020-09-08"
8057,"2020-10-06"
8057,"2020-11-03"
8057,"2020-12-01"
8057,"2020-12-29"
8064,"2020-01-17"
8064,"2020-02-14"
8064,"2020-03-13"
8064,"2020-04-11"
8064,"2020-05-08"
8064,"2020-06-05"
8064,"2020-07-03"
8064,"2020-07-31"
8064,"2020-08-28"
8064,"2020-09-25"
8064,"2020-10-23"
8064,"2020-11-20"
8064,"2020-12-18"

