"PLZ","Abholdatum"
8001,"2019-01-17"
8001,"2019-02-14"
8001,"2019-03-14"
8001,"2019-04-11"
8001,"2019-05-09"
8001,"2019-06-06"
8001,"2019-07-04"
8001,"2019-08-03"
8001,"2019-08-29"
8001,"2019-09-26"
8001,"2019-10-24"
8001,"2019-11-21"
8001,"2019-12-19"
8002,"2019-01-07"
8002,"2019-02-04"
8002,"2019-03-04"
8002,"2019-04-01"
8002,"2019-04-29"
8002,"2019-05-27"
8002,"2019-06-24"
8002,"2019-07-22"
8002,"2019-08-19"
8002,"2019-09-16"
8002,"2019-10-14"
8002,"2019-11-11"
8002,"2019-12-09"
8003,"2019-01-11"
8003,"2019-02-08"
8003,"2019-03-08"
8003,"2019-04-05"
8003,"2019-05-03"
8003,"2019-05-31"
8003,"2019-06-28"
8003,"2019-07-26"
8003,"2019-08-23"
8003,"2019-09-20"
8003,"2019-10-18"
8003,"2019-11-15"
8003,"2019-12-13"
8004,"2019-01-09"
8004,"2019-02-06"
8004,"2019-03-06"
8004,"2019-04-03"
8004,"2019-05-03"
8004,"2019-05-29"
8004,"2019-06-26"
8004,"2019-07-24"
8004,"2019-08-21"
8004,"2019-09-18"
8004,"2019-10-16"
8004,"2019-11-13"
8004,"2019-12-11"
8005,"2019-01-10"
8005,"2019-02-07"
8005,"2019-03-07"
8005,"2019-04-04"
8005,"2019-05-02"
8005,"2019-05-31"
8005,"2019-06-27"
8005,"2019-07-25"
8005,"2019-08-22"
8005,"2019-09-19"
8005,"2019-10-17"
8005,"2019-11-14"
8005,"2019-12-12"
8006,"2019-01-03"
8006,"2019-01-30"
8006,"2019-02-27"
8006,"2019-03-27"
8006,"2019-04-24"
8006,"2019-05-22"
8006,"2019-06-19"
8006,"2019-07-17"
8006,"2019-08-14"
8006,"2019-09-11"
8006,"2019-10-09"
8006,"2019-11-06"
8006,"2019-12-04"
8008,"2019-01-03"
8008,"2019-01-31"
8008,"2019-02-28"
8008,"2019-03-28"
8008,"2019-04-25"
8008,"2019-05-23"
8008,"2019-06-20"
8008,"2019-07-18"
8008,"2019-08-15"
8008,"2019-09-12"
8008,"2019-10-10"
8008,"2019-11-07"
8008,"2019-12-05"
8032,"2019-01-24"
8032,"2019-02-21"
8032,"2019-03-21"
8032,"2019-04-18"
8032,"2019-05-16"
8032,"2019-06-13"
8032,"2019-07-11"
8032,"2019-08-08"
8032,"2019-09-05"
