"PLZ";"Abholdatum"
8004;"Mo, 10. November 2014"
8004;"Mo, 17. November 2014"
8004;"Mo, 24. November 2014"
8004;"Mo, 1. Dezember 2014"
8004;"Mo, 8. Dezember 2014"
8004;"Mo, 22. Dezember 2014"
8005;"Mo, 6. Januar 2014"
8005;"Mo, 20. Januar 2014"
8005;"Mo, 3. Februar 2014"
8005;"Mo, 17. Februar 2014"
8005;"Mo, 3. März 2014"
8005;"Mo, 17. März 2014"
8005;"Mo, 24. März 2014"
8005;"Mo, 31. März 2014"
8005;"Mo, 7. April 2014"
8005;"Mo, 14. April 2014"
8005;"Mi, 23. April 2014"
8005;"Mo, 28. April 2014"
8005;"Mo, 5. Mai 2014"
8005;"Mo, 12. Mai 2014"
8005;"Mo, 19. Mai 2014"
8005;"Mo, 26. Mai 2014"
8005;"Mo, 2. Juni 2014"
8005;"Sa, 7. Juni 2014"
8005;"Mo, 16. Juni 2014"
8005;"Mo, 23. Juni 2014"
8005;"Mo, 30. Juni 2014"
8005;"Mo, 7. Juli 2014"
8005;"Mo, 14. Juli 2014"
8005;"Mo, 21. Juli 2014"
8005;"Mo, 28. Juli 2014"
8005;"Mo, 4. August 2014"
8005;"Mo, 11. August 2014"
8005;"Mo, 18. August 2014"
8005;"Mo, 25. August 2014"
8005;"Mo, 1. September 2014"
8005;"Mo, 8. September 2014"
8005;"Mo, 15. September 2014"
8005;"Mo, 22. September 2014"
8005;"Mo, 29. September 2014"
8005;"Mo, 6. Oktober 2014"
8005;"Mo, 13. Oktober 2014"
8005;"Mo, 20. Oktober 2014"
8005;"Mo, 27. Oktober 2014"
8005;"Mo, 3. November 2014"
8005;"Mo, 10. November 2014"
8005;"Mo, 17. November 2014"
8005;"Mo, 24. November 2014"
8005;"Mo, 1. Dezember 2014"
8005;"Mo, 8. Dezember 2014"
8005;"Mo, 22. Dezember 2014"
8006;"Di, 7. Januar 2014"
8006;"Di, 21. Januar 2014"
8006;"Di, 4. Februar 2014"
8006;"Di, 18. Februar 2014"
8006;"Di, 4. März 2014"
8006;"Di, 18. März 2014"
8006;"Di, 25. März 2014"
8006;"Di, 1. April 2014"
8006;"Di, 8. April 2014"
8006;"Di, 15. April 2014"
8006;"Di, 22. April 2014"
8006;"Di, 29. April 2014"
8006;"Di, 6. Mai 2014"
8006;"Di, 13. Mai 2014"
8006;"Di, 20. Mai 2014"
8006;"Di, 27. Mai 2014"
8006;"Di, 3. Juni 2014"
8006;"Di, 10. Juni 2014"
8006;"Di, 17. Juni 2014"
8006;"Di, 24. Juni 2014"
8006;"Di, 1. Juli 2014"
8006;"Di, 8. Juli 2014"
8006;"Di, 15. Juli 2014"
8006;"Di, 22. Juli 2014"
8006;"Di, 29. Juli 2014"
8006;"Di, 5. August 2014"
8006;"Di, 12. August 2014"
8006;"Di, 19. August 2014"
8006;"Di, 26. August 2014"
8006;"Di, 2. September 2014"
8006;"Di, 9. September 2014"
8006;"Di, 16. September 2014"
8006;"Di, 23. September 2014"
8006;"Di, 30. September 2014"
8006;"Di, 7. Oktober 2014"
8006;"Di, 14. Oktober 2014"
8006;"Di, 21. Oktober 2014"
8006;"Di, 28. Oktober 2014"
8006;"Di, 4. November 2014"
8006;"Di, 11. November 2014"
8006;"Di, 18. November 2014"
8006;"Di, 25. November 2014"
8006;"Di, 2. Dezember 2014"
8006;"Di, 9. Dezember 2014"
8006;"Di, 23. Dezember 2014"
8008;"Mo, 6. Januar 2014"
8008;"Mo, 20. Januar 2014"
8008;"Mo, 3. Februar 2014"
