"PLZ","Station","Abholdatum"
8001,"Burgwies","Mo, 25. Januar 2016"
8001,"Burgwies","Mo, 22. Februar 2016"
8001,"Burgwies","Mo, 21. März 2016"
8001,"Burgwies","Mo, 25. April 2016"
8001,"Burgwies","Mo, 23. Mai 2016"
8001,"Burgwies","Mo, 20. Juni 2016"
8001,"Burgwies","Mo, 15. August 2016"
8001,"Burgwies","Mo, 26. September 2016"
8001,"Burgwies","Mo, 24. Oktober 2016"
8001,"Burgwies","Mo, 7. November 2016"
8001,"Burgwies","Mo, 5. Dezember 2016"
8001,"Tramdepot Hard","Sa, 9. Januar 2016"
8001,"Tramdepot Hard","Sa, 6. Februar 2016"
8001,"Tramdepot Hard","Sa, 5. März 2016"
8001,"Tramdepot Hard","Sa, 9. April 2016"
8001,"Tramdepot Hard","Sa, 7. Mai 2016"
8001,"Tramdepot Hard","Sa, 4. Juni 2016"
8001,"Tramdepot Hard","Sa, 2. Juli 2016"
8001,"Tramdepot Hard","Sa, 10. September 2016"
8001,"Tramdepot Hard","Sa, 8. Oktober 2016"
8001,"Tramdepot Hard","Sa, 19. November 2016"
8001,"Tramdepot Hard","Sa, 17. Dezember 2016"
8001,"Tramdepot Universität Irchel","Do, 14. Januar 2016"
8001,"Tramdepot Universität Irchel","Do, 11. Februar 2016"
8001,"Tramdepot Universität Irchel","Do, 10. März 2016"
8001,"Tramdepot Universität Irchel","Do, 14. April 2016"
8001,"Tramdepot Universität Irchel","Do, 12. Mai 2016"
8001,"Tramdepot Universität Irchel","Do, 9. Juni 2016"
8001,"Tramdepot Universität Irchel","Do, 7. Juli 2016"
8001,"Tramdepot Universität Irchel","Do, 1. September 2016"
8001,"Tramdepot Universität Irchel","Do, 15. September 2016"
8001,"Tramdepot Universität Irchel","Do, 13. Oktober 2016"
8001,"Tramdepot Universität Irchel","Do, 24. November 2016"
8001,"Tramdepot Universität Irchel","Do, 22. Dezember 2016"
8002,"Strassenverkehrsamt","Fr, 29. Januar 2016"
8002,"Strassenverkehrsamt","Fr, 26. Februar 2016"
8002,"Strassenverkehrsamt","Fr, 1. April 2016"
8002,"Strassenverkehrsamt","Fr, 15. April 2016"
8002,"Strassenverkehrsamt","Fr, 27. Mai 2016"
8002,"Strassenverkehrsamt","Fr, 24. Juni 2016"
8002,"Strassenverkehrsamt","Fr, 19. August 2016"
8002,"Strassenverkehrsamt","Fr, 30. September 2016"
8002,"Strassenverkehrsamt","Fr, 28. Oktober 2016"
8002,"Strassenverkehrsamt","Fr, 11. November 2016"
8002,"Strassenverkehrsamt","Fr, 9. Dezember 2016"
8002,"Wollishofen","Mo, 4. Januar 2016"
8002,"Wollishofen","Mo, 1. Februar 2016"
8002,"Wollishofen","Mo, 29. Februar 2016"
8002,"Wollishofen","Mo, 4. April 2016"
8002,"Wollishofen","Mo, 2. Mai 2016"
8002,"Wollishofen","Mo, 13. Juni 2016"
8002,"Wollishofen","Mo, 11. Juli 2016"
8002,"Wollishofen","Mo, 5. September 2016"
8002,"Wollishofen","Mo, 3. Oktober 2016"
8002,"Wollishofen","Mo, 31. Oktober 2016"
8002,"Wollishofen","Mo, 28. November 2016"
8003,"Letzigrund","Mi, 6. Januar 2016"
8003,"Letzigrund","Mi, 3. Februar 2016"
8003,"Letzigrund","Mi, 2. März 2016"
8003,"Letzigrund","Mi, 30. März 2016"
8003,"Letzigrund","Mi, 6. April 2016"
8003,"Letzigrund","Mi, 4. Mai 2016"
8003,"Letzigrund","Mi, 1. Juni 2016"
8003,"Letzigrund","Mi, 13. Juli 2016"
8003,"Letzigrund","Mi, 7. September 2016"
8003,"Letzigrund","Mi, 5. Oktober 2016"
8003,"Letzigrund","Mi, 16. November 2016"
8003,"Letzigrund","Mi, 14. Dezember 2016"
8003,"Strassenverkehrsamt","Fr, 29. Januar 2016"
8003,"Strassenverkehrsamt","Fr, 26. Februar 2016"
8003,"Strassenverkehrsamt","Fr, 1. April 2016"
8003,"Strassenverkehrsamt","Fr, 15. April 2016"
8003,"Strassenverkehrsamt","Fr, 27. Mai 2016"
8003,"Strassenverkehrsamt","Fr, 24. Juni 2016"
8003,"Strassenverkehrsamt","Fr, 19. August 2016"
8003,"Strassenverkehrsamt","Fr, 30. September 2016"
8003,"Strassenverkehrsamt","Fr, 28. Oktober 2016"
8003,"Strassenverkehrsamt","Fr, 11. November 2016"
8003,"Strassenverkehrsamt","Fr, 9. Dezember 2016"
8004,"Letzigrund","Mi, 6. Januar 2016"
8004,"Letzigrund","Mi, 3. Februar 2016"
8004,"Letzigrund","Mi, 2. März 2016"
8004,"Letzigrund","Mi, 30. März 2016"
8004,"Letzigrund","Mi, 6. April 2016"
8004,"Letzigrund","Mi, 4. Mai 2016"
8004,"Letzigrund","Mi, 1. Juni 2016"
8004,"Letzigrund","Mi, 13. Juli 2016"
8004,"Letzigrund","Mi, 7. September 2016"
8004,"Letzigrund","Mi, 5. Oktober 2016"
8004,"Letzigrund","Mi, 16. November 2016"
8004,"Letzigrund","Mi, 14. Dezember 2016"
8004,"Tramdepot Hard","Sa, 9. Januar 2016"
8004,"Tramdepot Hard","Sa, 6. Februar 2016"
8004,"Tramdepot Hard","Sa, 5. März 2016"
8004,"Tramdepot Hard","Sa, 9. April 2016"
8004,"Tramdepot Hard","Sa, 7. Mai 2016"
8004,"Tramdepot Hard","Sa, 4. Juni 2016"
8004,"Tramdepot Hard","Sa, 2. Juli 2016"
8004,"Tramdepot Hard","Sa, 10. September 2016"
8004,"Tramdepot Hard","Sa, 8. Oktober 2016"
8004,"Tramdepot Hard","Sa, 19. November 2016"
8004,"Tramdepot Hard","Sa, 17. Dezember 2016"
8005,"Tramdepot Hard","Sa, 9. Januar 2016"
8005,"Tramdepot Hard","Sa, 6. Februar 2016"
8005,"Tramdepot Hard","Sa, 5. März 2016"
8005,"Tramdepot Hard","Sa, 9. April 2016"
8005,"Tramdepot Hard","Sa, 7. Mai 2016"
8005,"Tramdepot Hard","Sa, 4. Juni 2016"
8005,"Tramdepot Hard","Sa, 2. Juli 2016"
8005,"Tramdepot Hard","Sa, 10. September 2016"
8005,"Tramdepot Hard","Sa, 8. Oktober 2016"
8005,"Tramdepot Hard","Sa, 19. November 2016"
8005,"Tramdepot Hard","Sa, 17. Dezember 2016"
8006,"Tramdepot Universität Irchel","Do, 14. Januar 2016"
8006,"Tramdepot Universität Irchel","Do, 11. Februar 2016"
8006,"Tramdepot Universität Irchel","Do, 10. März 2016"
8006,"Tramdepot Universität Irchel","Do, 14. April 2016"
8006,"Tramdepot Universität Irchel","Do, 12. Mai 2016"
8006,"Tramdepot Universität Irchel","Do, 9. Juni 2016"
8006,"Tramdepot Universität Irchel","Do, 7. Juli 2016"
8006,"Tramdepot Universität Irchel","Do, 1. September 2016"
8006,"Tramdepot Universität Irchel","Do, 15. September 2016"
8006,"Tramdepot Universität Irchel","Do, 13. Oktober 2016"
8006,"Tramdepot Universität Irchel","Do, 24. November 2016"
8006,"Tramdepot Universität Irchel","Do, 22. Dezember 2016"
8008,"Burgwies","Mo, 25. Januar 2016"
8008,"Burgwies","Mo, 22. Februar 2016"
8008,"Burgwies","Mo, 21. März 2016"
8008,"Burgwies","Mo, 25. April 2016"
8008,"Burgwies","Mo, 23. Mai 2016"
8008,"Burgwies","Mo, 20. Juni 2016"
8008,"Burgwies","Mo, 15. August 2016"
8008,"Burgwies","Mo, 26. September 2016"
8008,"Burgwies","Mo, 24. Oktober 2016"
8008,"Burgwies","Mo, 7. November 2016"
8008,"Burgwies","Mo, 5. Dezember 2016"
8008,"Tiefenbrunnen","Di, 19. Januar 2016"
8008,"Tiefenbrunnen","Di, 16. Februar 2016"
8008,"Tiefenbrunnen","Di, 15. März 2016"
8008,"Tiefenbrunnen","Di, 19. April 2016"
8008,"Tiefenbrunnen","Di, 17. Mai 2016"
8008,"Tiefenbrunnen","Di, 28. Juni 2016"
8008,"Tiefenbrunnen","Di, 23. August 2016"
8008,"Tiefenbrunnen","Di, 20. September 2016"
8008,"Tiefenbrunnen","Di, 18. Oktober 2016"
8008,"Tiefenbrunnen","Di, 1. November 2016"
8008,"Tiefenbrunnen","Di, 29. November 2016"
8032,"Burgwies","Mo, 25. Januar 2016"
8032,"Burgwies","Mo, 22. Februar 2016"
8032,"Burgwies","Mo, 21. März 2016"
8032,"Burgwies","Mo, 25. April 2016"
8032,"Burgwies","Mo, 23. Mai 2016"
8032,"Burgwies","Mo, 20. Juni 2016"
8032,"Burgwies","Mo, 15. August 2016"
8032,"Burgwies","Mo, 26. September 2016"
8032,"Burgwies","Mo, 24. Oktober 2016"
8032,"Burgwies","Mo, 7. November 2016"
8032,"Burgwies","Mo, 5. Dezember 2016"
8037,"Tramdepot Hard","Sa, 9. Januar 2016"
8037,"Tramdepot Hard","Sa, 6. Februar 2016"
8037,"Tramdepot Hard","Sa, 5. März 2016"
8037,"Tramdepot Hard","Sa, 9. April 2016"
8037,"Tramdepot Hard","Sa, 7. Mai 2016"
8037,"Tramdepot Hard","Sa, 4. Juni 2016"
8037,"Tramdepot Hard","Sa, 2. Juli 2016"
8037,"Tramdepot Hard","Sa, 10. September 2016"
8037,"Tramdepot Hard","Sa, 8. Oktober 2016"
8037,"Tramdepot Hard","Sa, 19. November 2016"
8037,"Tramdepot Hard","Sa, 17. Dezember 2016"
8037,"Tramdepot Universität Irchel","Do, 14. Januar 2016"
8037,"Tramdepot Universität Irchel","Do, 11. Februar 2016"
8037,"Tramdepot Universität Irchel","Do, 10. März 2016"
8037,"Tramdepot Universität Irchel","Do, 14. April 2016"
8037,"Tramdepot Universität Irchel","Do, 12. Mai 2016"
8037,"Tramdepot Universität Irchel","Do, 9. Juni 2016"
8037,"Tramdepot Universität Irchel","Do, 7. Juli 2016"
8037,"Tramdepot Universität Irchel","Do, 1. September 2016"
8037,"Tramdepot Universität Irchel","Do, 15. September 2016"
8037,"Tramdepot Universität Irchel","Do, 13. Oktober 2016"
8037,"Tramdepot Universität Irchel","Do, 24. November 2016"
8037,"Tramdepot Universität Irchel","Do, 22. Dezember 2016"
8038,"Wollishofen","Mo, 4. Januar 2016"
8038,"Wollishofen","Mo, 1. Februar 2016"
8038,"Wollishofen","Mo, 29. Februar 2016"
8038,"Wollishofen","Mo, 4. April 2016"
8038,"Wollishofen","Mo, 2. Mai 2016"
8038,"Wollishofen","Mo, 13. Juni 2016"
8038,"Wollishofen","Mo, 11. Juli 2016"
8038,"Wollishofen","Mo, 5. September 2016"
8038,"Wollishofen","Mo, 3. Oktober 2016"
8038,"Wollishofen","Mo, 31. Oktober 2016"
8038,"Wollishofen","Mo, 28. November 2016"
8041,"Strassenverkehrsamt","Fr, 29. Januar 2016"
8041,"Strassenverkehrsamt","Fr, 26. Februar 2016"
8041,"Strassenverkehrsamt","Fr, 1. April 2016"
8041,"Strassenverkehrsamt","Fr, 15. April 2016"
8041,"Strassenverkehrsamt","Fr, 27. Mai 2016"
8041,"Strassenverkehrsamt","Fr, 24. Juni 2016"
8041,"Strassenverkehrsamt","Fr, 19. August 2016"
8041,"Strassenverkehrsamt","Fr, 30. September 2016"
8041,"Strassenverkehrsamt","Fr, 28. Oktober 2016"
8041,"Strassenverkehrsamt","Fr, 11. November 2016"
