"PLZ","Abholdatum"
8001,"Do, 21. Januar 2016"
8001,"Do, 18. Februar 2016"
8001,"Do, 17. März 2016"
8001,"Do, 14. April 2016"
8001,"Do, 12. Mai 2016"
8001,"Do, 9. Juni 2016"
8001,"Do, 7. Juli 2016"
8001,"Do, 4. August 2016"
8001,"Do, 1. September 2016"
8001,"Do, 29. September 2016"
8001,"Do, 27. Oktober 2016"
8001,"Do, 24. November 2016"
8001,"Do, 22. Dezember 2016"
8002,"Mo, 11. Januar 2016"
8002,"Mo, 8. Februar 2016"
8002,"Mo, 7. März 2016"
8002,"Mo, 4. April 2016"
8002,"Mo, 2. Mai 2016"
8002,"Mo, 30. Mai 2016"
8002,"Mo, 27. Juni 2016"
8002,"Mo, 25. Juli 2016"
8002,"Mo, 22. August 2016"
8002,"Mo, 19. September 2016"
8002,"Mo, 17. Oktober 2016"
8002,"Mo, 14. November 2016"
8002,"Mo, 12. Dezember 2016"
8003,"Fr, 15. Januar 2016"
8003,"Fr, 12. Februar 2016"
8003,"Fr, 11. März 2016"
8003,"Fr, 8. April 2016"
8003,"Fr, 6. Mai 2016"
8003,"Fr, 3. Juni 2016"
8003,"Fr, 1. Juli 2016"
8003,"Fr, 29. Juli 2016"
8003,"Fr, 26. August 2016"
8003,"Fr, 23. September 2016"
8003,"Fr, 21. Oktober 2016"
8003,"Fr, 18. November 2016"
8003,"Fr, 16. Dezember 2016"
8004,"Mi, 13. Januar 2016"
8004,"Mi, 10. Februar 2016"
8004,"Mi, 9. März 2016"
8004,"Mi, 6. April 2016"
8004,"Mi, 4. Mai 2016"
8004,"Mi, 1. Juni 2016"
8004,"Mi, 29. Juni 2016"
8004,"Mi, 27. Juli 2016"
8004,"Mi, 24. August 2016"
8004,"Mi, 21. September 2016"
8004,"Mi, 19. Oktober 2016"
8004,"Mi, 16. November 2016"
8004,"Mi, 14. Dezember 2016"
8005,"Do, 14. Januar 2016"
8005,"Do, 11. Februar 2016"
8005,"Do, 10. März 2016"
8005,"Do, 7. April 2016"
8005,"Fr, 6. Mai 2016"
8005,"Do, 2. Juni 2016"
8005,"Do, 30. Juni 2016"
8005,"Do, 28. Juli 2016"
8005,"Do, 25. August 2016"
8005,"Do, 22. September 2016"
8005,"Do, 20. Oktober 2016"
8005,"Do, 17. November 2016"
8005,"Do, 15. Dezember 2016"
8006,"Mi, 6. Januar 2016"
8006,"Mi, 3. Februar 2016"
8006,"Mi, 2. März 2016"
8006,"Mi, 30. März 2016"
8006,"Mi, 27. April 2016"
8006,"Mi, 25. Mai 2016"
