PLZ,Abholdatum,Tour
8800,2019-01-25,C
8800,2019-02-01,C
8800,2019-02-08,C
8800,2019-02-15,C
8800,2019-02-22,C
8800,2019-03-01,C
8800,2019-03-08,C
8800,2019-03-15,C
8800,2019-03-22,C
8800,2019-03-29,C
8800,2019-04-05,C
8800,2019-04-12,C
8800,2019-04-23,C
8800,2019-04-26,C
8800,2019-05-03,C
8800,2019-05-10,C
8800,2019-05-17,C
8800,2019-05-24,C
8800,2019-05-31,C
8800,2019-06-07,C
8800,2019-06-14,C
8800,2019-06-21,C
8800,2019-06-28,C
8800,2019-07-05,C
8800,2019-07-12,C
8800,2019-07-19,C
8800,2019-07-26,C
8800,2019-08-02,C
8800,2019-08-09,C
8800,2019-08-16,C
8800,2019-08-23,C
8800,2019-08-30,C
8800,2019-09-06,C
8800,2019-09-13,C
8800,2019-09-20,C
8800,2019-09-27,C
8800,2019-10-04,C
8800,2019-10-11,C
8800,2019-10-18,C
8800,2019-10-25,C
8800,2019-11-01,C
8800,2019-11-08,C
8800,2019-11-15,C
8800,2019-11-22,C
8800,2019-11-29,C
8800,2019-12-06,C
8800,2019-12-13,C
8800,2019-12-20,C
8800,2019-12-27,C
8800,2020-01-06,A
8800,2020-01-13,A
8800,2020-01-20,A
8800,2020-01-27,A
8800,2020-02-03,A
8800,2020-02-10,A
8800,2020-02-17,A
8800,2020-02-24,A
8800,2020-03-02,A
8800,2020-03-09,A
8800,2020-03-16,A
8800,2020-03-23,A
8800,2020-03-30,A
8800,2020-04-06,A
8800,2020-04-14,A
8800,2020-04-20,A
8800,2020-04-27,A
8800,2020-05-04,A
8800,2020-05-11,A
8800,2020-05-18,A
8800,2020-05-25,A
8800,2020-06-02,A
8800,2020-06-08,A
8800,2020-06-15,A
8800,2020-06-22,A
8800,2020-06-29,A
8800,2020-07-06,A
8800,2020-07-13,A
8800,2020-07-20,A
8800,2020-07-27,A
8800,2020-08-03,A
8800,2020-08-10,A
8800,2020-08-17,A
8800,2020-08-24,A
8800,2020-08-31,A
8800,2020-09-07,A
8800,2020-09-14,A
8800,2020-09-21,A
8800,2020-09-28,A
8800,2020-10-05,A
8800,2020-10-12,A
8800,2020-10-19,A
8800,2020-10-26,A
8800,2020-11-02,A
8800,2020-11-09,A
8800,2020-11-16,A
8800,2020-11-23,A
8800,2020-11-30,A
8800,2020-12-07,A
8800,2020-12-14,A
8800,2020-12-21,A
8800,2020-12-28,A
8800,2020-01-03,B
8800,2020-01-07,B
8800,2020-01-14,B
8800,2020-01-21,B
8800,2020-01-28,B
8800,2020-02-04,B
8800,2020-02-11,B
8800,2020-02-18,B
8800,2020-02-25,B
8800,2020-03-03,B
8800,2020-03-10,B
8800,2020-03-17,B
8800,2020-03-24,B
8800,2020-03-31,B
8800,2020-04-07,B
8800,2020-04-14,B
8800,2020-04-21,B
8800,2020-04-28,B
8800,2020-05-05,B
8800,2020-05-12,B
8800,2020-05-19,B
8800,2020-05-26,B
8800,2020-06-02,B
8800,2020-06-09,B
8800,2020-06-16,B
8800,2020-06-23,B
8800,2020-06-30,B
8800,2020-07-07,B
8800,2020-07-14,B
8800,2020-07-21,B
8800,2020-07-28,B
8800,2020-08-04,B
8800,2020-08-11,B
8800,2020-08-18,B
8800,2020-08-25,B
8800,2020-09-01,B
8800,2020-09-08,B
8800,2020-09-15,B
8800,2020-09-22,B
8800,2020-09-29,B
8800,2020-10-06,B
8800,2020-10-13,B
8800,2020-10-20,B
8800,2020-10-27,B
8800,2020-11-03,B
8800,2020-11-10,B
8800,2020-11-17,B
8800,2020-11-24,B
8800,2020-12-01,B
8800,2020-12-08,B
8800,2020-12-15,B
8800,2020-12-22,B
8800,2020-12-29,B
8800,2020-01-03,C
8800,2020-01-10,C
8800,2020-01-17,C
8800,2020-01-24,C
8800,2020-01-31,C
8800,2020-02-07,C
8800,2020-02-14,C
8800,2020-02-21,C
8800,2020-02-28,C
8800,2020-03-06,C
8800,2020-03-13,C
8800,2020-03-20,C
8800,2020-03-27,C
8800,2020-04-03,C
8800,2020-04-14,C
8800,2020-04-17,C
8800,2020-04-24,C
8800,2020-05-04,C
8800,2020-05-08,C
8800,2020-05-15,C
8800,2020-05-22,C
8800,2020-05-29,C
8800,2020-06-05,C
8800,2020-06-12,C
8800,2020-06-19,C
8800,2020-06-26,C
8800,2020-07-03,C
8800,2020-07-10,C
8800,2020-07-17,C
8800,2020-07-24,C
8800,2020-07-31,C
8800,2020-08-07,C
8800,2020-08-14,C
8800,2020-08-21,C
8800,2020-08-28,C
8800,2020-09-04,C
8800,2020-09-11,C
8800,2020-09-18,C
8800,2020-09-25,C
8800,2020-10-02,C
8800,2020-10-09,C
8800,2020-10-16,C
8800,2020-10-23,C
8800,2020-10-30,C
8800,2020-11-06,C
8800,2020-11-13,C
8800,2020-11-20,C
8800,2020-11-27,C
8800,2020-12-04,C
8800,2020-12-11,C
8800,2020-12-18,C
8800,2020-12-28,C
8800,2020-12-28,A
8800,2021-01-04,A
8800,2021-01-11,A
8800,2021-01-18,A
8800,2021-01-25,A
8800,2021-02-01,A
8800,2021-02-08,A
8800,2021-02-15,A
8800,2021-02-22,A
8800,2021-03-01,A
8800,2021-03-08,A
8800,2021-03-15,A
8800,2021-03-22,A
8800,2021-03-29,A
8800,2021-04-06,A
8800,2021-04-12,A
8800,2021-04-19,A
8800,2021-04-26,A
8800,2021-05-03,A
8800,2021-05-10,A
8800,2021-05-17,A
8800,2021-05-25,A
8800,2021-05-31,A
8800,2021-06-07,A
8800,2021-06-14,A
8800,2021-06-21,A
8800,2021-06-28,A
8800,2021-07-05,A
8800,2021-07-12,A
8800,2021-07-19,A
8800,2021-07-26,A
8800,2021-08-02,A
8800,2021-08-09,A
8800,2021-08-16,A
8800,2021-08-23,A
8800,2021-08-30,A
8800,2021-09-06,A
8800,2021-09-13,A
8800,2021-09-20,A
8800,2021-09-27,A
8800,2021-10-04,A
8800,2021-10-11,A
8800,2021-10-18,A
8800,2021-10-25,A
8800,2021-11-01,A
8800,2021-11-08,A
8800,2021-11-15,A
8800,2021-11-22,A
8800,2021-11-29,A
8800,2021-12-06,A
8800,2021-12-13,A
8800,2021-12-20,A
8800,2021-12-27,A
8800,2020-12-29,B
8800,2021-01-05,B
8800,2021-01-12,B
8800,2021-01-19,B
8800,2021-01-26,B
8800,2021-02-02,B
8800,2021-02-09,B
8800,2021-02-16,B
8800,2021-02-23,B
8800,2021-03-02,B
8800,2021-03-09,B
8800,2021-03-16,B
8800,2021-03-23,B
8800,2021-03-30,B
8800,2021-04-06,B
8800,2021-04-13,B
8800,2021-04-20,B
8800,2021-04-27,B
8800,2021-05-04,B
8800,2021-05-11,B
8800,2021-05-18,B
8800,2021-05-25,B
8800,2021-06-01,B
8800,2021-06-08,B
8800,2021-06-15,B
8800,2021-06-22,B
8800,2021-06-29,B
8800,2021-07-06,B
8800,2021-07-13,B
8800,2021-07-20,B
8800,2021-07-27,B
8800,2021-08-03,B
8800,2021-08-10,B
8800,2021-08-17,B
8800,2021-08-24,B
8800,2021-08-31,B
8800,2021-09-07,B
8800,2021-09-14,B
8800,2021-09-21,B
8800,2021-09-28,B
8800,2021-10-05,B
8800,2021-10-12,B
8800,2021-10-19,B
8800,2021-10-26,B
8800,2021-11-02,B
8800,2021-11-09,B
8800,2021-11-16,B
8800,2021-11-23,B
8800,2021-11-30,B
8800,2021-12-07,B
8800,2021-12-14,B
8800,2021-12-21,B
8800,2021-12-28,B
8800,2021-01-04,C
8800,2021-01-08,C
8800,2021-01-15,C
8800,2021-01-22,C
8800,2021-01-29,C
8800,2021-02-05,C
8800,2021-02-12,C
8800,2021-02-19,C
8800,2021-02-26,C
8800,2021-03-05,C
8800,2021-03-12,C
8800,2021-03-19,C
8800,2021-03-26,C
8800,2021-04-03,C
8800,2021-04-09,C
8800,2021-04-16,C
8800,2021-04-23,C
8800,2021-04-30,C
8800,2021-05-07,C
8800,2021-05-14,C
8800,2021-05-21,C
8800,2021-05-28,C
8800,2021-06-04,C
8800,2021-06-11,C
8800,2021-06-18,C
8800,2021-06-25,C
8800,2021-07-02,C
8800,2021-07-09,C
8800,2021-07-16,C
8800,2021-07-23,C
8800,2021-07-30,C
8800,2021-08-06,C
8800,2021-08-13,C
8800,2021-08-20,C
8800,2021-08-27,C
8800,2021-09-03,C
8800,2021-09-10,C
8800,2021-09-17,C
8800,2021-09-24,C
8800,2021-10-01,C
8800,2021-10-08,C
8800,2021-10-15,C
8800,2021-10-22,C
8800,2021-10-29,C
8800,2021-11-05,C
8800,2021-11-12,C
8800,2021-11-19,C
8800,2021-11-26,C
8800,2021-12-03,C
8800,2021-12-10,C
8800,2021-12-17,C
8800,2021-12-27,C
8800,2022-01-03,C
