region,zip,area,station,waste_type,col_date
wangen-bruttisellen,8306,,,waste,2023-08-25
wangen-bruttisellen,8306,,,organic,2023-08-28
wangen-bruttisellen,8306,,,bulky_goods,2023-09-01
wangen-bruttisellen,8306,,,waste,2023-09-01
wangen-bruttisellen,8306,,,paper,2023-09-02
wangen-bruttisellen,8306,,,organic,2023-09-04
wangen-bruttisellen,8306,,,cardboard,2023-09-06
wangen-bruttisellen,8306,,,bulky_goods,2023-09-08
wangen-bruttisellen,8306,,,waste,2023-09-08
wangen-bruttisellen,8306,,,organic,2023-09-11
wangen-bruttisellen,8306,,,bulky_goods,2023-09-15
wangen-bruttisellen,8306,,,waste,2023-09-15
wangen-bruttisellen,8306,,,organic,2023-09-18
wangen-bruttisellen,8306,,,special,2023-09-20
wangen-bruttisellen,8306,,,bulky_goods,2023-09-22
wangen-bruttisellen,8306,,,waste,2023-09-22
wangen-bruttisellen,8306,,,organic,2023-09-25
wangen-bruttisellen,8306,,,bulky_goods,2023-09-29
wangen-bruttisellen,8306,,,waste,2023-09-29
wangen-bruttisellen,8306,,,organic,2023-10-02
wangen-bruttisellen,8306,,,cardboard,2023-10-04
wangen-bruttisellen,8306,,,bulky_goods,2023-10-06
wangen-bruttisellen,8306,,,waste,2023-10-06
wangen-bruttisellen,8306,,,paper,2023-10-07
wangen-bruttisellen,8306,,,organic,2023-10-09
wangen-bruttisellen,8306,,,bulky_goods,2023-10-13
wangen-bruttisellen,8306,,,waste,2023-10-13
wangen-bruttisellen,8306,,,organic,2023-10-16
wangen-bruttisellen,8306,,,bulky_goods,2023-10-20
wangen-bruttisellen,8306,,,waste,2023-10-20
wangen-bruttisellen,8306,,,organic,2023-10-23
wangen-bruttisellen,8306,,,bulky_goods,2023-10-27
wangen-bruttisellen,8306,,,waste,2023-10-27
wangen-bruttisellen,8306,,,organic,2023-10-30
wangen-bruttisellen,8306,,,chipping_service,2023-10-31
wangen-bruttisellen,8306,,,cardboard,2023-11-01
wangen-bruttisellen,8306,,,chipping_service,2023-11-01
wangen-bruttisellen,8306,,,chipping_service,2023-11-02
wangen-bruttisellen,8306,,,bulky_goods,2023-11-03
wangen-bruttisellen,8306,,,waste,2023-11-03
wangen-bruttisellen,8306,,,paper,2023-11-04
wangen-bruttisellen,8306,,,organic,2023-11-06
wangen-bruttisellen,8306,,,bulky_goods,2023-11-10
wangen-bruttisellen,8306,,,waste,2023-11-10
wangen-bruttisellen,8306,,,organic,2023-11-13
wangen-bruttisellen,8306,,,bulky_goods,2023-11-17
wangen-bruttisellen,8306,,,waste,2023-11-17
wangen-bruttisellen,8306,,,organic,2023-11-20
wangen-bruttisellen,8306,,,bulky_goods,2023-11-24
wangen-bruttisellen,8306,,,waste,2023-11-24
wangen-bruttisellen,8306,,,organic,2023-11-27
wangen-bruttisellen,8306,,,bulky_goods,2023-12-01
wangen-bruttisellen,8306,,,waste,2023-12-01
wangen-bruttisellen,8306,,,paper,2023-12-02
wangen-bruttisellen,8306,,,cardboard,2023-12-06
wangen-bruttisellen,8306,,,bulky_goods,2023-12-08
wangen-bruttisellen,8306,,,waste,2023-12-08
wangen-bruttisellen,8306,,,organic,2023-12-11
wangen-bruttisellen,8306,,,bulky_goods,2023-12-15
wangen-bruttisellen,8306,,,waste,2023-12-15
wangen-bruttisellen,8306,,,bulky_goods,2023-12-22
wangen-bruttisellen,8306,,,waste,2023-12-22
wangen-bruttisellen,8306,,,bulky_goods,2023-12-29
wangen-bruttisellen,8306,,,waste,2023-12-29
wangen-bruttisellen,8306,,,cardboard,2024-01-03
wangen-bruttisellen,8306,,,bulky_goods,2024-01-05
wangen-bruttisellen,8306,,,waste,2024-01-05
wangen-bruttisellen,8306,,,paper,2024-01-06
wangen-bruttisellen,8306,,,organic,2024-01-08
wangen-bruttisellen,8306,,,bulky_goods,2024-01-12
wangen-bruttisellen,8306,,,waste,2024-01-12
wangen-bruttisellen,8306,,,bulky_goods,2024-01-19
wangen-bruttisellen,8306,,,waste,2024-01-19
wangen-bruttisellen,8306,,,organic,2024-01-22
wangen-bruttisellen,8306,,,bulky_goods,2024-01-26
wangen-bruttisellen,8306,,,waste,2024-01-26
wangen-bruttisellen,8306,,,bulky_goods,2024-02-02
wangen-bruttisellen,8306,,,waste,2024-02-02
wangen-bruttisellen,8306,,,paper,2024-02-03
wangen-bruttisellen,8306,,,organic,2024-02-05
wangen-bruttisellen,8306,,,cardboard,2024-02-07
wangen-bruttisellen,8306,,,bulky_goods,2024-02-09
wangen-bruttisellen,8306,,,waste,2024-02-09
wangen-bruttisellen,8306,,,bulky_goods,2024-02-16
wangen-bruttisellen,8306,,,special,2024-02-16
wangen-bruttisellen,8306,,,waste,2024-02-16
wangen-bruttisellen,8306,,,organic,2024-02-19
wangen-bruttisellen,8306,,,bulky_goods,2024-02-23
wangen-bruttisellen,8306,,,waste,2024-02-23
wangen-bruttisellen,8306,,,bulky_goods,2024-03-01
wangen-bruttisellen,8306,,,waste,2024-03-01
wangen-bruttisellen,8306,,,paper,2024-03-02
wangen-bruttisellen,8306,,,cardboard,2024-03-06
wangen-bruttisellen,8306,,,bulky_goods,2024-03-08
wangen-bruttisellen,8306,,,waste,2024-03-08
wangen-bruttisellen,8306,,,chipping_service,2024-03-12
wangen-bruttisellen,8306,,,chipping_service,2024-03-13
wangen-bruttisellen,8306,,,chipping_service,2024-03-14
wangen-bruttisellen,8306,,,bulky_goods,2024-03-15
wangen-bruttisellen,8306,,,waste,2024-03-15
wangen-bruttisellen,8306,,,bulky_goods,2024-03-22
wangen-bruttisellen,8306,,,waste,2024-03-22
wangen-bruttisellen,8306,,,bulky_goods,2024-03-27
wangen-bruttisellen,8306,,,waste,2024-03-27
wangen-bruttisellen,8306,,,cardboard,2024-04-03
wangen-bruttisellen,8306,,,organic,2024-04-03
wangen-bruttisellen,8306,,,bulky_goods,2024-04-05
wangen-bruttisellen,8306,,,waste,2024-04-05
wangen-bruttisellen,8306,,,paper,2024-04-06
wangen-bruttisellen,8306,,,bulky_goods,2024-04-12
wangen-bruttisellen,8306,,,waste,2024-04-12
wangen-bruttisellen,8306,,,bulky_goods,2024-04-19
wangen-bruttisellen,8306,,,waste,2024-04-19
wangen-bruttisellen,8306,,,bulky_goods,2024-04-26
wangen-bruttisellen,8306,,,waste,2024-04-26
wangen-bruttisellen,8306,,,bulky_goods,2024-05-03
wangen-bruttisellen,8306,,,waste,2024-05-03
wangen-bruttisellen,8306,,,paper,2024-05-04
wangen-bruttisellen,8306,,,cardboard,2024-05-06
wangen-bruttisellen,8306,,,bulky_goods,2024-05-10
wangen-bruttisellen,8306,,,waste,2024-05-10
wangen-bruttisellen,8306,,,bulky_goods,2024-05-17
wangen-bruttisellen,8306,,,waste,2024-05-17
wangen-bruttisellen,8306,,,organic,2024-05-22
wangen-bruttisellen,8306,,,bulky_goods,2024-05-24
wangen-bruttisellen,8306,,,waste,2024-05-24
wangen-bruttisellen,8306,,,bulky_goods,2024-05-31
wangen-bruttisellen,8306,,,waste,2024-05-31
wangen-bruttisellen,8306,,,paper,2024-06-01
wangen-bruttisellen,8306,,,cardboard,2024-06-05
