"region","zip","name","oil","metal","glass","textile","description"
"gossau-zh",8626,"Hauptsammelstelle beim Werkhof Unter-Ottikon",True,True,True,True,"Rössliwiese 1/11, 8626 Ottikon"
"gossau-zh",8614,"Bertschikon Dorfplatz",False,True,True,True,""
"gossau-zh",8625,"Gossau Ernst-Brugger-Platz",False,True,True,True,""
"gossau-zh",8625,"Gossau Laufenbachstrasse",False,True,True,True,""
"gossau-zh",8624,"Grüt Bushaltestelle",False,True,True,True,""
"gossau-zh",8626,"Ober-Ottikon Restaurant Traube",False,False,True,False,""
